trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,cash_close,cash_open,net_roll,net_roll_usd,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2024-04-12,2024-05-24,SPX,42,5169.55,16.8,down,0,5125.0,4980.0,-0.377,-0.22,0.0856,0.1472,35,0.4,-5.65,-5.25,-525.0,-1.8,0.0,5.65,-496.85,-260.0,-260.0,loss,roll,0
2024-04-19,2024-05-31,SPX,42,5011.44,18.34,down,0,5125.0,4980.0,-0.614,-0.399,0.2041,0.0766,35,8.4,-15.25,-6.85,-685.0,-4.81,0.0,15.25,-494.1,275.0,275.0,win,roll,1
2024-04-26,2024-06-07,SPX,42,5094.17,15.27,up,1,4960.0,4800.0,-0.255,-0.126,0.1231,0.157,35,-7.9,2.8,-5.1,-510.0,-3.24,0.0,-2.8,-517.25,-2315.0,-2315.0,loss,roll,0
2024-05-03,2024-06-14,SPX,42,5131.33,13.82,up,1,5000.0,4850.0,-0.25,-0.123,0.1165,0.1467,35,-4.8,3.05,-1.75,-175.0,-2.53,0.0,-3.05,-519.25,-200.0,-200.0,loss,roll,0
2024-05-10,2024-06-21,SPX,42,5237.51,12.89,up,1,5120.0,4975.0,-0.25,-0.124,0.1019,0.1337,35,-1.05,2.6,1.55,155.0,-0.51,0.0,-2.6,-517.25,200.0,200.0,win,roll,1
2024-05-17,2024-06-28,SPX,42,5298.56,12.36,up,1,5190.0,5050.0,-0.251,-0.125,0.0932,0.1256,35,-1.3,1.65,0.35,35.0,-0.5,0.0,-1.65,-515.95,130.0,130.0,win,roll,1
2024-05-24,2024-07-05,SPX,42,5282.08,12.59,down,0,5190.0,5050.0,-0.274,-0.139,0.0886,0.1247,35,-2.25,0.25,-2.0,-200.0,-1.03,0.0,-0.25,-516.55,-60.0,-60.0,loss,roll,0
2024-05-31,2024-07-12,SPX,42,5239.0,13.69,down,0,5190.0,5050.0,-0.347,-0.184,2.2503,0.1234,35,-3.85,-0.05,-3.9,-390.0,-1.84,0.0,0.05,-520.15,-360.0,-360.0,loss,roll,0
2024-06-07,2024-07-19,SPX,42,5347.82,12.58,up,1,5230.0,5085.0,-0.247,-0.124,0.0987,0.1312,35,-1.8,1.6,-0.2,-20.0,-0.26,0.0,-1.6,-522.0,-185.0,-185.0,loss,roll,0
2024-06-14,2024-07-26,SPX,42,5421.03,12.52,up,1,5315.0,5170.0,-0.253,-0.127,0.0895,0.1248,35,0.1,0.15,0.25,25.0,-0.47,0.0,-0.15,-520.3,170.0,170.0,win,roll,1
2024-06-21,2024-08-02,SPX,42,5459.93,13.61,up,1,5330.0,5170.0,-0.247,-0.124,0.1069,0.1424,35,-0.65,0.75,0.1,10.0,-0.82,0.0,-0.75,-520.8,-50.0,-50.0,loss,roll,0
2024-06-28,2024-08-09,SPX,42,5501.89,12.3,up,1,5390.0,5240.0,-0.256,-0.126,0.0945,0.1281,35,-2.5,1.65,-0.85,-85.0,-0.05,0.0,-1.65,-522.55,-175.0,-175.0,loss,roll,0
2024-07-05,2024-08-16,SPX,42,5545.13,12.17,up,1,5430.0,5285.0,-0.247,-0.125,0.0927,0.1256,35,-1.9,0.7,-1.2,-120.0,0.0,0.0,-0.7,-522.8,-25.0,-25.0,loss,roll,0
2024-07-12,2024-08-23,SPX,42,5608.55,12.33,up,1,5490.0,5340.0,-0.248,-0.124,0.0948,0.1276,35,-1.25,1.65,0.4,40.0,-0.6,0.0,-1.65,-523.35,-55.0,-55.0,loss,roll,0
2024-07-19,2024-08-30,SPX,42,5546.86,15.96,down,0,5490.0,5340.0,-0.355,-0.204,2.0992,0.1393,35,0.25,-5.15,-4.9,-490.0,-2.16,0.0,5.15,-521.45,190.0,190.0,win,roll,1
2024-07-26,2024-09-06,SPX,42,5447.39,17.38,down,0,5490.0,5340.0,-0.501,-0.309,0.3585,2.8191,35,3.35,-10.55,-7.2,-720.0,-3.92,0.0,10.55,-523.25,-180.0,-180.0,loss,roll,0
2024-08-02,2024-09-16,SPX,45,5355.7,21.55,down,0,5490.0,5350.0,-0.61,-0.44,0.2215,0.8408,38,34.65,-61.6,-26.95,-2695.0,-5.53,10.0,61.6,-499.15,2410.0,2410.0,win,roll,1
2024-08-09,2024-09-20,SPX,42,5306.78,24.06,down,0,5490.0,5350.0,-0.666,-0.498,0.2153,0.3921,35,61.7,-71.3,-9.6,-960.0,-6.4,0.0,71.3,-499.05,10.0,10.0,win,roll,1
2024-08-16,2024-09-27,SPX,42,5535.25,15.38,up,1,5385.0,5200.0,-0.248,-0.125,0.1232,0.1642,35,3.5,0.25,3.75,375.0,-2.37,0.0,-0.25,-566.85,-6780.0,-6780.0,loss,roll,0
2024-08-23,2024-10-04,SPX,42,5608.63,16.86,up,1,5450.0,5230.0,-0.253,-0.125,0.1317,0.184,35,2.7,-0.7,2.0,200.0,-1.07,0.0,0.7,-563.9,295.0,295.0,win,roll,1
2024-08-30,2024-10-11,SPX,42,5627.85,15.1,up,1,5480.0,5280.0,-0.252,-0.126,0.1213,0.1682,35,-3.8,-0.65,-4.45,-445.0,-0.73,0.0,0.65,-568.4,-450.0,-450.0,loss,roll,0
2024-09-06,2024-10-18,SPX,42,5486.27,20.17,down,0,5480.0,5280.0,-0.435,-0.242,0.0212,0.1685,35,0.1,-6.25,-6.15,-615.0,-3.23,0.0,6.25,-568.95,-55.0,-55.0,loss,roll,0
2024-09-13,2024-10-25,SPX,42,5616.5,16.83,up,1,5450.0,5240.0,-0.253,-0.125,0.1384,0.1824,35,-4.7,1.85,-2.85,-285.0,-0.93,0.0,-1.85,-579.9,-1095.0,-1095.0,loss,roll,0
2024-09-20,2024-11-01,SPX,42,5692.9,16.32,up,1,5530.0,5325.0,-0.249,-0.125,0.1309,0.1761,35,-1.0,-0.3,-1.3,-130.0,-0.7,0.0,0.3,-579.05,85.0,85.0,win,roll,1
2024-09-27,2024-11-08,SPX,42,5751.94,15.48,up,1,5570.0,5350.0,-0.251,-0.127,0.1463,0.1925,35,-1.5,0.0,-1.5,-150.0,-0.19,0.0,0.0,-580.85,-180.0,-180.0,loss,roll,0
2024-10-04,2024-11-15,SPX,42,5720.73,19.69,down,0,5570.0,5350.0,-0.298,-0.164,2.9659,0.2095,35,1.35,-6.25,-4.9,-490.0,-0.77,0.0,6.25,-579.5,135.0,135.0,win,roll,1
2024-10-11,2024-11-22,SPX,42,5793.98,20.6,up,1,5590.0,5330.0,-0.253,-0.124,0.1655,0.2203,35,1.95,0.9,2.85,285.0,-0.03,0.0,-0.9,-583.8,-430.0,-430.0,loss,roll,0
2024-10-18,2024-11-29,SPX,42,5851.48,18.85,up,1,5670.0,5440.0,-0.25,-0.125,0.1428,0.1922,35,-2.45,-0.3,-2.75,-275.0,-0.39,0.0,0.3,-585.35,-155.0,-155.0,loss,roll,0
2024-10-25,2024-12-06,SPX,42,5851.3,18.36,down,0,5670.0,5440.0,-0.257,-0.129,0.1476,0.1954,35,-5.1,0.55,-4.55,-455.0,-0.39,0.0,-0.55,-590.75,-540.0,-540.0,loss,roll,0
2024-11-01,2024-12-13,SPX,42,5749.02,21.61,down,0,5670.0,5440.0,-0.364,-0.197,0.1253,0.1991,35,-3.55,-2.0,-5.55,-555.0,-2.13,0.0,2.0,-593.75,-300.0,-300.0,loss,roll,0
2024-11-08,2024-12-20,SPX,42,5988.72,14.79,up,1,5835.0,5640.0,-0.248,-0.125,0.1159,0.1571,35,-0.9,-0.15,-1.05,-105.0,-0.0,0.0,0.15,-596.65,-290.0,-290.0,loss,roll,0
2024-11-15,2024-12-27,SPX,42,5900.51,14.96,down,0,5830.0,5640.0,-0.338,-0.168,2.3828,0.1421,35,-7.3,2.05,-5.25,-525.0,-1.93,5.0,-2.05,-604.1,-745.0,-745.0,loss,roll,0
2024-11-22,2025-01-03,SPX,42,5970.42,16.1,up,1,5810.0,5610.0,-0.247,-0.126,0.1208,0.1643,35,0.2,-1.5,-1.3,-130.0,-0.77,0.0,1.5,-601.85,225.0,225.0,win,roll,1
2024-11-29,2025-01-10,SPX,42,6019.0,13.67,up,1,5890.0,5700.0,-0.255,-0.126,0.0993,0.1432,35,0.4,-0.75,-0.35,-35.0,-0.07,0.0,0.75,-602.95,-110.0,-110.0,loss,roll,0
2024-12-06,2025-01-17,SPX,42,6098.24,13.07,up,1,5975.0,5790.0,-0.251,-0.125,0.0917,0.1358,35,2.45,-1.9,0.55,55.0,-0.01,0.0,1.9,-601.25,170.0,170.0,win,roll,1
2024-12-13,2025-01-24,SPX,42,6068.64,13.46,down,0,5975.0,5800.0,-0.295,-0.152,0.0875,0.133,35,-1.75,-3.0,-4.75,-475.0,-0.5,10.0,3.0,-604.9,-365.0,-365.0,loss,roll,0
2024-12-20,2025-01-31,SPX,42,5846.0,22.35,down,0,5975.0,5800.0,-0.606,-0.396,0.2115,0.0935,35,21.3,-32.35,-11.05,-1105.0,-4.15,0.0,32.35,-586.6,1830.0,1830.0,win,roll,1
2024-12-27,2025-02-07,SPX,42,5992.41,16.47,up,1,5820.0,5610.0,-0.249,-0.126,0.1313,0.174,35,0.0,0.0,0.0,0.0,-1.75,0.0,0.0,-618.95,-3235.0,-3235.0,loss,roll,0
2025-01-03,2025-02-14,SPX,42,5902.75,17.44,down,0,5820.0,5610.0,-0.341,-0.173,0.1062,0.1638,35,-8.4,3.4,-5.0,-500.0,-3.22,0.0,-3.4,-627.35,-840.0,-840.0,loss,roll,0
2025-01-10,2025-02-21,SPX,42,5850.85,19.22,down,0,5820.0,5610.0,-0.407,-0.219,0.0696,0.1657,35,-5.8,0.3,-5.5,-550.0,-4.07,0.0,-0.3,-629.75,-240.0,-240.0,loss,roll,0
2025-01-17,2025-02-28,SPX,42,5985.09,15.82,up,1,5820.0,5625.0,-0.248,-0.125,0.1253,0.1631,35,-6.35,1.1,-5.25,-525.0,-1.87,0.0,-1.1,-635.8,-605.0,-605.0,loss,roll,0
2025-01-24,2025-03-07,SPX,42,6124.53,14.75,up,1,5970.0,5775.0,-0.251,-0.124,0.1153,0.1538,35,1.15,1.25,2.4,240.0,-0.04,0.0,-1.25,-633.55,225.0,225.0,win,roll,1
2025-01-31,2025-03-14,SPX,42,6102.03,15.31,down,0,5970.0,5775.0,-0.279,-0.143,0.1139,0.1558,35,-4.7,1.15,-3.55,-355.0,-0.41,0.0,-1.15,-637.0,-345.0,-345.0,loss,roll,0
2025-02-07,2025-03-21,SPX,42,6098.82,14.85,down,0,5970.0,5775.0,-0.284,-0.144,0.1142,0.1553,35,-4.85,0.6,-4.25,-425.0,-0.46,0.0,-0.6,-640.7,-370.0,-370.0,loss,roll,0
2025-02-14,2025-03-28,SPX,42,6121.17,14.99,up,1,5960.0,5750.0,-0.251,-0.123,0.1207,0.163,35,-2.5,1.2,-1.3,-130.0,-0.1,0.0,-1.2,-642.6,-190.0,-190.0,loss,roll,0
2025-02-21,2025-04-04,SPX,42,6097.94,15.7,down,0,5960.0,5750.0,-0.274,-0.138,0.1163,0.1628,35,-3.5,0.15,-3.35,-335.0,-0.8,0.0,-0.15,-644.9,-230.0,-230.0,loss,roll,0
2025-02-28,2025-04-11,SPX,42,5872.14,20.95,down,0,5960.0,5750.0,-0.544,-0.329,0.2761,0.1484,35,-2.8,-9.9,-12.7,-1270.0,-4.47,0.0,9.9,-647.55,-265.0,-265.0,loss,roll,0
2025-03-07,2025-04-17,SPX,41,5750.59,24.11,down,0,5960.0,5750.0,-0.672,-0.45,0.2207,0.7489,34,29.15,-36.9,-7.75,-775.0,-6.45,0.0,36.9,-628.3,1925.0,1925.0,win,roll,1
2025-03-14,2025-04-25,SPX,42,5589.5,23.38,down,0,5950.0,5750.0,-0.834,-0.624,0.1839,0.2347,35,52.05,-75.4,-23.35,-2335.0,-9.07,10.0,75.4,-613.15,1515.0,1515.0,win,roll,1
2025-03-21,2025-05-02,SPX,42,5621.35,20.54,up,1,5410.0,5175.0,-0.253,-0.126,0.1777,0.2199,35,35.15,3.95,39.1,3910.0,-8.55,0.0,-3.95,-653.4,-4025.0,-4025.0,loss,roll,0
2025-03-28,2025-05-09,SPX,42,5660.93,19.46,up,1,5500.0,5250.0,-0.287,-0.127,0.1588,0.2009,35,-11.15,14.2,3.05,305.0,-7.91,0.0,-14.2,-660.6,-720.0,-720.0,loss,roll,0
2025-04-04,2025-05-16,SPX,42,5251.51,35.84,down,0,5500.0,5250.0,-0.668,-0.454,0.2829,0.6814,35,53.5,-65.8,-12.3,-1230.0,-14.57,0.0,65.8,-592.9,6770.0,6770.0,win,roll,1
