trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2025-06-17,2025-06-17,SPX,0,RJL,6013.15,27.65,6010.0,6000.0,6025.0,6055.0,10.0,30.0,11.85,1008.0,5982.72,19.11,8.0,8.0,WIN,expiration,2025-06-17,0,,1992.0,100.8,252.0,8.0,8.0
2025-06-18,2025-06-18,SPX,0,RJL,5987.56,40.6,5985.0,5975.0,6010.0,6040.0,10.0,30.0,22.44,1090.0,5980.87,21.62,623.0,623.0,WIN,expiration,2025-06-18,0,,1910.0,109.0,272.5,545.0,817.5
2025-06-20,2025-06-20,SPX,0,RJL,6007.38,30.85,6005.0,5995.0,6020.0,6050.0,10.0,30.0,12.62,1125.0,5967.84,20.15,125.0,125.0,WIN,expiration,2025-06-20,0,,1875.0,112.5,281.25,125.0,125.0
2025-06-23,2025-06-23,SPX,0,RJL,5965.79,30.65,5965.0,5955.0,5980.0,6010.0,10.0,30.0,14.21,1085.0,6025.17,20.63,-1915.0,-1915.0,LOSS,expiration,2025-06-23,0,,1915.0,108.5,-1915.0,-1915.0,-1915.0
2025-06-24,2025-06-24,SPX,0,RJL,6064.49,25.85,6060.0,6050.0,6075.0,6105.0,10.0,30.0,10.51,1003.0,6092.18,19.85,-825.0,-825.0,LOSS,expiration,2025-06-24,0,,1997.0,100.3,-825.0,-825.0,-825.0
2025-06-25,2025-06-25,SPX,0,RJL,6105.68,21,6105.0,6095.0,6110.0,6140.0,10.0,30.0,4.32,1085.0,6092.16,17.48,85.0,85.0,WIN,expiration,2025-06-25,0,,1915.0,108.5,271.25,85.0,85.0
2025-06-26,2025-06-26,SPX,0,RJL,6115.01,19.9,6115.0,6105.0,6120.0,6150.0,10.0,30.0,4.99,1040.0,6141.02,16.75,-1222.0,-1222.0,LOSS,expiration,2025-06-26,0,,1960.0,-1222.0,-1222.0,-1222.0,-1222.0
2025-06-27,2025-06-27,SPX,0,RJL,6156.9,20.85,6155.0,6145.0,6160.0,6190.0,10.0,30.0,3.1,1110.0,6173.07,16.59,-87.0,-87.0,LOSS,expiration,2025-06-27,0,,1890.0,111.0,277.5,555.0,-87.0
2025-06-30,2025-06-30,SPX,0,RJL,6194.29,24.75,6190.0,6180.0,6205.0,6235.0,10.0,30.0,10.71,1000.0,6204.95,16.32,1000.0,1000.0,WIN,expiration,2025-06-30,0,,2000.0,100,250,500,750
2025-07-01,2025-07-01,SPX,0,RJL,6187.15,24.55,6185.0,6175.0,6195.0,6225.0,10.0,30.0,7.85,1120.0,6198.01,16.73,862.0,862.0,WIN,expiration,2025-07-01,0,,1880.0,112.0,280.0,560.0,862.0
2025-07-02,2025-07-02,SPX,0,RJL,6195.75,21.8,6195.0,6185.0,6200.0,6230.0,10.0,30.0,4.25,1150.0,6227.42,16.83,-1577.0,-1577.0,LOSS,expiration,2025-07-02,0,,1850.0,-1577.0,-1577.0,-1577.0,-1577.0
2025-07-03,2025-07-03,SPX,0,RJL,6251.24,18.3,6250.0,6240.0,6255.0,6285.0,10.0,30.0,3.76,1020.0,6279.35,16.65,-1256.0,-1256.0,LOSS,expiration,2025-07-03,0,,1980.0,-1256.0,-1256.0,-1256.0,-1256.0
2025-07-07,2025-07-07,SPX,0,RJL,6261.9,23.7,6260.0,6250.0,6270.0,6300.0,10.0,30.0,8.1,1015.0,6229.98,16.42,15.0,15.0,WIN,expiration,2025-07-07,0,,1985.0,101.5,253.75,15.0,15.0
2025-07-08,2025-07-08,SPX,0,RJL,6232.79,22.6,6230.0,6220.0,6240.0,6270.0,10.0,30.0,7.21,1040.0,6225.52,17.79,588.0,588.0,WIN,expiration,2025-07-08,0,,1960.0,104.0,260.0,520.0,588.0
2025-07-09,2025-07-09,SPX,0,RJL,6250.82,20.45,6250.0,6240.0,6255.0,6285.0,10.0,30.0,4.18,1095.0,6263.26,16.81,368.0,368.0,WIN,expiration,2025-07-09,0,,1905.0,109.5,273.75,547.5,368.0
2025-07-10,2025-07-10,SPX,0,RJL,6264.58,20.85,6260.0,6250.0,6265.0,6295.0,10.0,30.0,0.42,1183.0,6280.46,15.94,-332.0,-332.0,LOSS,expiration,2025-07-10,0,,1817.0,118.3,-332.0,-332.0,-332.0
2025-07-11,2025-07-11,SPX,0,RJL,6253.97,25,6250.0,6240.0,6260.0,6290.0,10.0,30.0,6.03,1135.0,6259.75,15.79,1135.0,1135.0,WIN,expiration,2025-07-11,0,,1865.0,113.5,283.75,567.5,851.25
2025-07-14,2025-07-14,SPX,0,RJL,6252.41,20.8,6250.0,6240.0,6255.0,6285.0,10.0,30.0,2.59,1097.0,6268.56,16.4,-213.0,-213.0,LOSS,expiration,2025-07-14,0,,1903.0,109.7,-213.0,-213.0,-213.0
2025-07-15,2025-07-15,SPX,0,RJL,6298.96,20.65,6295.0,6285.0,6300.0,6330.0,10.0,30.0,1.04,1172.0,6243.76,17.2,172.0,172.0,WIN,expiration,2025-07-15,0,,1828.0,117.2,172.0,172.0,172.0
2025-07-16,2025-07-16,SPX,0,RJL,6258.61,21.55,6255.0,6245.0,6260.0,6290.0,10.0,30.0,1.39,1178.0,6263.7,17.38,820.0,820.0,WIN,expiration,2025-07-16,0,,1822.0,117.8,294.5,589.0,820.0
2025-07-17,2025-07-17,SPX,0,RJL,6265.66,21.3,6265.0,6255.0,6270.0,6300.0,10.0,30.0,4.34,1122.0,6297.36,17.16,-1780.0,-1780.0,LOSS,expiration,2025-07-17,0,,1878.0,-1780.0,-1780.0,-1780.0,-1780.0
2025-07-18,2025-07-18,SPX,0,RJL,6311.7,21.8,6310.0,6300.0,6315.0,6345.0,10.0,30.0,3.3,1082.0,6296.79,16.51,82.0,82.0,WIN,expiration,2025-07-18,0,,1918.0,108.2,270.5,82.0,82.0
