trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2022-06-24,2022-07-15,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3852.1,3861.56,3730,3615,3225,360.0,1890.0,1530.0,28.4,28.4,6.81,262.4,-360.0,29390.0,LOSS,expiration,2035,-355,305.0,745.0,100.0,240.0,295.0,-360.0,-360.0,-360.0,-360.0,305.0,745.0,100.0,240.0,295.0,305.0,745.0,100.0,240.0,295.0,305.0,745.0,100.0,240.0,295.0,305.0,745.0,100.0,240.0,295.0
2022-07-01,2022-07-22,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3800.64,3962.24,3680,3575,3230,285.0,1410.0,1125.0,27.94,27.94,6.7,254.7,-285.0,25410.0,LOSS,expiration,1065,-285,115.0,295.0,595.0,-190.0,-205.0,-285.0,-285.0,-285.0,-285.0,115.0,295.0,595.0,-190.0,-205.0,115.0,295.0,595.0,-190.0,-205.0,115.0,295.0,595.0,-190.0,-205.0,115.0,295.0,595.0,-190.0,-205.0
2022-07-08,2022-07-29,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3874.9,4130.48,3755,3650,3345,325.0,400.0,75.0,25.76,25.76,6.18,239.4,-325.0,20400.0,LOSS,expiration,615,-327.5,265.0,400.0,-140.0,-117.5,-97.5,-325.0,-325.0,-325.0,-325.0,265.0,400.0,-140.0,-117.5,-97.5,265.0,400.0,-140.0,-117.5,-97.5,265.0,400.0,-140.0,-117.5,-97.5,265.0,400.0,-140.0,-117.5,-97.5
2022-07-15,2022-08-05,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3826.81,4144.66,3715,3610,3310,420.0,1560.0,1140.0,25.31,25.31,6.07,232.3,-420.0,21060.0,LOSS,expiration,140,-420,-180.0,-70.0,-385.0,-407.5,-407.5,-420.0,-420.0,-420.0,-420.0,-180.0,-70.0,-385.0,-407.5,-407.5,-180.0,-70.0,-385.0,-407.5,-407.5,-180.0,-70.0,-385.0,-407.5,-407.5,-180.0,-70.0,-385.0,-407.5,-407.5
2022-07-22,2022-08-12,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3991.17,4279.35,3885,3785,3450,195.0,280.0,85.0,23.25,23.25,5.58,222.6,-195.0,23780.0,LOSS,expiration,285,-192.5,135.0,115.0,-107.5,-177.5,-170.0,-195.0,-195.0,-195.0,-195.0,135.0,115.0,-107.5,-177.5,-170.0,135.0,115.0,-107.5,-177.5,-170.0,135.0,115.0,-107.5,-177.5,-170.0,135.0,115.0,-107.5,-177.5,-170.0
2022-07-29,2022-08-19,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4102.69,4228.37,4005,3915,3605,100.0,1150.0,1050.0,21.72,21.72,5.21,213.7,-100.0,23150.0,LOSS,expiration,420,-100,230.0,410.0,30.0,-85.0,-97.5,-100.0,-100.0,-100.0,-100.0,230.0,410.0,30.0,-85.0,-97.5,230.0,410.0,30.0,-85.0,-97.5,230.0,410.0,30.0,-85.0,-97.5,230.0,410.0,30.0,-85.0,-97.5
2022-08-05,2022-08-26,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4131.1,4058.29,4030,3930,3620,330.0,400.0,70.0,21.7,21.7,5.21,215.0,-330.0,21400.0,LOSS,expiration,325,-337.5,105.0,-215.0,-275.0,35.0,145.0,-330.0,-330.0,-330.0,-330.0,105.0,-215.0,-275.0,35.0,145.0,105.0,-215.0,-275.0,35.0,145.0,105.0,-215.0,-275.0,35.0,145.0,105.0,-215.0,-275.0,35.0,145.0
2022-08-12,2022-09-02,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4234.43,3925.29,4140,4050,3720,210.0,610.0,400.0,19.84,19.84,4.76,201.5,-3681.0,24610.0,LOSS,expiration,5050,-5650,150.0,400.0,570.0,370.0,955.0,4280.0,4280.0,-3681.0,-3681.0,150.0,400.0,570.0,370.0,955.0,150.0,400.0,570.0,370.0,955.0,150.0,400.0,570.0,370.0,955.0,150.0,400.0,570.0,370.0,955.0
2022-08-19,2022-09-09,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4237.6,4067.62,4145,4055,3740,360.0,430.0,70.0,20.72,20.72,4.97,210.6,7378.0,22930.0,WIN,expiration,7255,-6055,180.0,-965.0,-2070.0,-4965.0,-4965.0,2245.0,5700.0,6640.0,7378.0,180.0,-965.0,-2070.0,-4965.0,-4965.0,180.0,-965.0,-2070.0,-4965.0,-4965.0,180.0,-965.0,-2070.0,-4965.0,-4965.0,180.0,-965.0,-2070.0,-4965.0,-4965.0
2022-08-26,2022-09-16,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4197.3,3872.56,4095,4000,3655,305.0,2060.0,1755.0,22.06,22.06,5.29,222.1,-3549.0,27060.0,LOSS,expiration,2485,-6455,-1680.0,-2265.0,985.0,1215.0,2080.0,2080.0,-3549.0,-3549.0,-3549.0,-1680.0,-2265.0,985.0,1215.0,2080.0,-1680.0,-2265.0,985.0,1215.0,2080.0,-1680.0,-2265.0,985.0,1215.0,2080.0,-1680.0,-2265.0,985.0,1215.0,2080.0
