trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2023-10-09,2023-10-13,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4302.01,4328.34,4300.0,4285.0,4315.0,100.0,18.51,19.16,86.3,100.0,35.0,155.0,155.0,WIN,expiration,175.0,-1090.0,70.0
2023-10-16,2023-10-20,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4356.2,4223.58,4355.0,4345.0,4365.0,50.0,18.3,17.66,80.5,50.0,15.0,30.0,47.5,WIN,expiration,50.0,-440.0,-5.0
2023-10-23,2023-10-27,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4218.0,4118.3,4220.0,4205.0,4235.0,85.0,21.39,21.8,96.2,85.0,145.0,145.0,145.0,WIN,expiration,145.0,-930.0,-0.0
2023-10-30,2023-11-03,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4159.83,4358.11,4160.0,4145.0,4175.0,90.0,20.26,22.97,100.0,90.0,70.0,70.0,70.0,WIN,expiration,275.0,-1640.0,35.0
2023-11-06,2023-11-10,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4365.66,4415.89,4365.0,4355.0,4375.0,60.0,15.34,14.13,64.6,60.0,65.0,65.0,65.0,WIN,expiration,135.0,-1130.0,-30.0
2023-11-13,2023-11-17,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4397.94,4513.91,4400.0,4390.0,4410.0,55.0,14.98,14.09,64.8,55.0,75.0,75.0,75.0,WIN,expiration,175.0,-1720.0,75.0
2023-11-20,2023-11-24,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4527.92,4558.9,4530.0,4525.0,4535.0,15.0,13.78,9.98,47.3,15.0,15.0,15.0,15.0,WIN,expiration,20.0,-1510.0,0.0
2023-11-27,2023-12-01,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4551.0,4593.72,4550.0,4540.0,4560.0,95.0,12.88,10.84,51.7,95.0,30.0,85.0,85.0,WIN,expiration,95.0,-880.0,-0.0
2023-12-04,2023-12-08,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4563.43,4603.49,4565.0,4555.0,4575.0,60.0,13.7,13.4,64.0,60.0,35.0,35.0,45.0,WIN,expiration,60.0,-1730.0,-235.0
2023-12-11,2023-12-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4606.47,4715.03,4605.0,4595.0,4615.0,55.0,13.02,14.45,69.7,55.0,35.0,35.0,50.0,WIN,expiration,235.0,-4410.0,-20.0
2023-12-18,2023-12-22,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4733.99,4755.16,4735.0,4725.0,4745.0,80.0,12.55,11.2,55.5,80.0,55.0,55.0,65.0,WIN,expiration,65.0,-680.0,5.0
2024-01-08,2024-01-12,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4714.97,4783.14,4715.0,4705.0,4725.0,65.0,13.66,13.6,67.1,65.0,60.0,60.0,60.0,WIN,expiration,130.0,-1940.0,50.0
