trade_id,Opened,Closed,exit_reason,pnl,premium
115,2023-09-01,2023-09-21,stop_loss,-2070.0,2070
116,2023-09-08,2023-09-26,stop_loss,-2170.0,2170
117,2023-09-15,2023-10-05,expiration,-824.62,2235
118,2023-09-22,2023-10-12,expiration,654.3800000000001,2380
119,2023-09-29,2023-10-19,expiration,1393.38,2440
120,2023-10-06,2023-10-26,expiration,-16.620000000000005,2885
121,2023-10-13,2023-11-02,expiration,-133.62,2250
122,2023-10-20,2023-11-09,expiration,-620.6199999999999,2800
123,2023-10-27,2023-11-16,expiration,-1358.62,2225
124,2023-11-03,2023-11-24,stop_loss,-2305.0,2305
125,2023-11-10,2023-11-30,expiration,179.38,2290
126,2023-11-17,2023-12-07,expiration,721.38,2640
127,2023-11-24,2023-12-14,expiration,164.38,1895
128,2023-12-01,2023-12-21,expiration,1012.3800000000001,1690
129,2023-12-08,2023-12-28,expiration,-133.62,2070
130,2023-12-15,2024-01-04,expiration,-78.62,2435
131,2023-12-22,2024-01-04,stop_loss,-1945.0,1945
132,2023-12-29,2024-01-18,expiration,58.37999999999994,2325
133,2024-01-05,2024-01-25,expiration,-298.6199999999999,2845
134,2024-01-12,2024-02-01,expiration,976.3800000000001,1870
135,2024-01-19,2024-02-08,expiration,371.38,2105
136,2024-01-26,2024-02-15,expiration,1099.38,1755
137,2024-02-02,2024-02-22,expiration,876.38,2175
138,2024-02-09,2024-02-29,expiration,231.37999999999997,2565
139,2024-02-16,2024-03-07,expiration,1249.38,2280
140,2024-02-23,2024-03-14,expiration,902.38,2745
141,2024-03-01,2024-03-21,expiration,431.38000000000005,1700
142,2024-03-08,2024-03-28,expiration,291.38,2585
143,2024-03-15,2024-04-04,expiration,1051.38,2650
144,2024-03-22,2024-04-11,expiration,378.38,2460
145,2024-04-05,2024-04-25,expiration,-696.62,3230
146,2024-04-12,2024-05-02,expiration,-608.62,2370
147,2024-04-19,2024-05-09,expiration,-1035.62,2875
148,2024-04-26,2024-05-16,expiration,-200.6199999999999,2660
149,2024-05-03,2024-05-23,expiration,334.38,1950
150,2024-05-10,2024-05-30,expiration,547.3799999999999,2545
151,2024-05-17,2024-06-06,expiration,754.38,3235
152,2024-05-24,2024-06-13,expiration,996.3800000000001,1665
153,2024-05-31,2024-06-20,expiration,-213.62,2355
154,2024-06-07,2024-06-27,expiration,664.38,2045
155,2024-06-14,2024-07-05,expiration,541.3800000000001,2905
156,2024-06-21,2024-07-11,expiration,714.38,2430
157,2024-06-28,2024-07-18,expiration,1557.38,2515
158,2024-07-05,2024-07-25,expiration,619.3800000000001,3370
159,2024-07-19,2024-08-08,expiration,1523.38,2730
160,2024-07-26,2024-08-15,expiration,169.38,2630
161,2024-08-02,2024-08-22,expiration,292.3800000000001,3595
162,2024-08-09,2024-08-29,expiration,79.38000000000011,2770
163,2024-08-16,2024-09-05,expiration,879.3800000000001,2710
164,2024-08-23,2024-09-12,expiration,662.3800000000001,3170
165,2024-08-30,2024-09-19,expiration,1119.38,2270
166,2024-09-06,2024-09-26,expiration,-988.6199999999999,3200
167,2024-09-13,2024-10-03,expiration,2181.38,3310
168,2024-09-20,2024-10-10,expiration,769.38,2605
169,2024-09-27,2024-10-17,expiration,253.38000000000005,2930
170,2024-10-04,2024-10-24,expiration,597.38,3590
171,2024-10-11,2024-10-31,expiration,-700.6199999999999,7005
172,2024-10-18,2024-11-07,expiration,83.38,2535
173,2024-10-25,2024-11-14,expiration,-455.62000000000006,2945
174,2024-11-01,2024-11-21,expiration,1134.38,2035
175,2024-11-08,2024-11-29,expiration,-614.62,3265
176,2024-11-15,2024-12-05,expiration,-682.6199999999999,2990
177,2024-11-22,2024-12-12,expiration,-548.6200000000001,3495
178,2024-11-29,2024-12-12,stop_loss,-1855.0,1855
179,2024-12-06,2024-12-26,expiration,-1181.62,2965
180,2024-12-13,2025-01-02,expiration,-736.62,3505
181,2024-12-20,2025-01-10,expiration,-1576.62,3610
182,2024-12-27,2025-01-16,expiration,333.38,2495
183,2025-01-03,2025-01-23,expiration,711.3800000000001,3745
184,2025-01-10,2025-01-30,expiration,1096.38,3395
185,2025-01-17,2025-02-06,expiration,279.38,2575
186,2025-01-24,2025-02-13,expiration,636.3800000000001,2135
187,2025-01-31,2025-02-20,expiration,-320.62,3190
188,2025-02-07,2025-02-27,expiration,1491.38,2990
189,2025-02-14,2025-03-06,expiration,-1475.62,2960
190,2025-02-21,2025-03-13,stop_loss,-3275.0,3275
191,2025-02-28,2025-03-10,stop_loss,-2880.0,2880
192,2025-03-07,2025-03-27,expiration,159.3800000000001,3740
193,2025-03-14,2025-04-03,expiration,2223.38,3530
194,2025-03-21,2025-04-10,expiration,2939.38,2375
195,2025-03-28,2025-04-17,expiration,3990.38,3630
196,2025-04-04,2025-04-24,expiration,2761.38,4005
197,2025-04-11,2025-05-01,expiration,402.3800000000001,4125
198,2025-04-25,2025-05-15,expiration,-2002.62,3495
199,2025-05-02,2025-05-22,expiration,1402.38,3645
200,2025-05-09,2025-05-29,expiration,271.3800000000001,4305
201,2025-05-16,2025-06-05,expiration,511.3800000000001,3325
202,2025-05-23,2025-06-12,expiration,1171.38,3495
203,2025-06-06,2025-06-26,expiration,-273.6199999999999,2990
204,2025-06-13,2025-07-03,expiration,-1755.62,4025
205,2025-06-20,2025-07-09,stop_loss,-4080.0,4080
206,2025-07-11,2025-07-31,expiration,221.38,3185
207,2025-07-18,2025-08-07,expiration,596.3800000000001,3505
208,2025-07-25,2025-08-14,expiration,-315.62,3655
209,2025-08-01,2025-08-21,expiration,734.38,3820
210,2025-08-08,2025-08-28,expiration,-308.62,2880
211,2025-08-22,2025-09-11,expiration,1036.38,3395
212,2025-09-05,2025-09-25,expiration,1527.38,3530
213,2025-09-12,2025-10-02,expiration,1424.38,3445
214,2025-09-19,2025-10-09,expiration,-178.61999999999995,3825
215,2025-09-26,2025-10-16,expiration,4254.38,3835
216,2025-10-03,2025-10-23,expiration,339.3800000000001,4820
217,2025-10-24,2025-11-13,expiration,1446.38,3900
218,2025-10-31,2025-11-20,expiration,789.3800000000001,3370
219,2025-11-07,2025-11-28,expiration,-1891.62,4270
220,2025-11-14,2025-12-04,expiration,-1396.62,4995
221,2025-11-21,2025-12-11,expiration,-670.6199999999999,4855
222,2025-11-28,2025-12-05,stop_loss,-2600.0,2600
223,2025-12-05,2025-12-26,expiration,-2103.62,4205
224,2025-12-12,2026-01-02,expiration,-298.62,4170
225,2025-12-19,2026-01-08,expiration,-225.61999999999998,4175
226,2026-01-02,2026-01-22,expiration,126.37999999999994,4560
227,2026-01-09,2026-01-29,expiration,596.3800000000001,3790
228,2026-01-23,2026-02-12,expiration,1364.38,3080
229,2026-01-30,2026-02-19,expiration,858.3800000000001,4375
230,2026-02-06,2026-02-26,expiration,283.3800000000001,4145
231,2026-02-13,2026-03-05,expiration,2026.38,3975
232,2026-02-20,2026-03-12,expiration,1906.38,4500
233,2026-02-27,2026-03-19,expiration,921.3800000000001,3905
234,2026-03-06,2026-03-26,expiration,-776.6199999999999,3975
235,2026-03-13,2026-04-02,expiration,123.38000000000011,5355
236,2026-03-20,2026-04-09,expiration,74.38000000000011,5005
237,2026-04-10,2026-04-30,expiration,-2002.62,3900
