trade_id,Opened,Closed,exit_reason,pnl,premium
110,2023-07-07,2023-07-20,take_profit,782.5,3130
111,2023-07-14,2023-07-25,take_profit,531.25,2125
112,2023-07-21,2023-07-28,take_profit,553.75,2215
113,2023-07-28,2023-08-10,expiration,-323.62,2290
114,2023-08-04,2023-08-17,expiration,-331.61999999999995,2905
115,2023-08-11,2023-08-24,expiration,-313.61999999999995,2575
116,2023-08-18,2023-08-31,expiration,-273.6199999999999,2320
117,2023-08-25,2023-09-07,expiration,-58.620000000000005,2990
118,2023-09-01,2023-09-14,expiration,-536.62,2780
119,2023-09-08,2023-09-21,expiration,15.379999999999995,2420
120,2023-09-15,2023-09-28,expiration,-1021.6199999999999,2525
121,2023-09-22,2023-10-05,expiration,-106.62,2760
122,2023-09-29,2023-10-12,expiration,439.38,2920
123,2023-10-06,2023-10-13,take_profit,725.0,2900
124,2023-10-13,2023-10-18,take_profit,821.25,3285
125,2023-10-20,2023-11-02,expiration,-463.62000000000006,2940
126,2023-10-27,2023-11-09,expiration,-2035.62,3375
127,2023-11-03,2023-11-16,expiration,-193.6199999999999,2155
128,2023-11-10,2023-11-24,expiration,-1250.62,2580
129,2023-11-17,2023-11-30,expiration,172.37999999999997,2755
130,2023-11-24,2023-12-07,expiration,839.38,2990
131,2023-12-01,2023-12-07,take_profit,502.5,2010
132,2023-12-08,2023-12-13,take_profit,490.0,1960
133,2023-12-15,2023-12-20,take_profit,615.0,2460
134,2023-12-22,2024-01-04,expiration,-663.62,2850
135,2023-12-29,2024-01-11,expiration,-98.62,2205
136,2024-01-05,2024-01-16,take_profit,671.25,2685
137,2024-01-12,2024-01-18,take_profit,820.0,3280
138,2024-01-19,2024-01-31,take_profit,540.0,2160
139,2024-01-26,2024-02-01,take_profit,602.5,2410
140,2024-02-02,2024-02-15,take_profit,550.0,2200
141,2024-02-09,2024-02-15,take_profit,645.0,2580
142,2024-02-16,2024-02-22,take_profit,768.75,3075
143,2024-02-23,2024-03-06,take_profit,656.25,2625
144,2024-03-01,2024-03-07,take_profit,800.0,3200
145,2024-03-08,2024-03-18,take_profit,523.75,2095
146,2024-03-15,2024-03-28,expiration,94.38000000000011,3025
147,2024-03-22,2024-04-04,expiration,-100.62,3280
148,2024-04-05,2024-04-18,expiration,-608.6199999999999,3105
149,2024-04-12,2024-04-25,expiration,-540.6199999999999,3490
150,2024-04-19,2024-05-02,expiration,-85.62,2990
151,2024-04-26,2024-05-03,take_profit,761.25,3045
152,2024-05-03,2024-05-06,take_profit,785.0,3140
153,2024-05-10,2024-05-23,expiration,371.38,1960
154,2024-05-17,2024-05-30,expiration,-145.62,3010
155,2024-05-24,2024-06-05,take_profit,933.75,3735
156,2024-05-31,2024-06-03,take_profit,537.5,2150
157,2024-06-07,2024-06-20,take_profit,655.0,2620
158,2024-06-14,2024-06-20,take_profit,638.75,2555
159,2024-06-21,2024-07-05,expiration,-88.61999999999989,3750
160,2024-06-28,2024-07-11,take_profit,638.75,2555
161,2024-07-05,2024-07-11,take_profit,703.75,2815
162,2024-07-12,2024-07-25,expiration,-2083.62,3925
163,2024-07-19,2024-08-01,expiration,1089.38,2870
164,2024-07-26,2024-07-31,take_profit,772.5,3090
165,2024-08-02,2024-08-08,take_profit,928.75,3715
166,2024-08-09,2024-08-22,expiration,-250.6199999999999,3990
167,2024-08-16,2024-08-22,take_profit,731.25,2925
168,2024-08-23,2024-09-05,expiration,-118.62,3285
169,2024-08-30,2024-09-12,expiration,1021.3800000000001,3595
170,2024-09-06,2024-09-11,take_profit,853.75,3415
171,2024-09-13,2024-09-18,take_profit,960.0,3840
172,2024-09-20,2024-10-01,take_profit,866.25,3465
173,2024-09-27,2024-10-01,take_profit,762.5,3050
174,2024-10-04,2024-10-08,take_profit,866.25,3465
175,2024-10-11,2024-10-24,expiration,-198.62,4875
176,2024-10-18,2024-10-31,expiration,-367.6199999999999,7800
177,2024-10-25,2024-10-30,take_profit,781.25,3125
178,2024-11-01,2024-11-14,expiration,104.38000000000011,3305
