Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2022-07-01,2022-07-14,2830,884.92,5.08,2022-07-14,1005,-790.54,2.54,3835,94.38,7.62,2022-07-14,58
2022-07-08,2022-07-21,3500,-678.08,5.08,2022-07-21,1275,937.46,2.54,4775,259.38,7.62,2022-07-21,59
2022-07-15,2022-07-28,2370,-1778.08,5.08,2022-07-28,750,1307.46,2.54,3120,-470.6199999999999,7.62,2022-07-28,60
2022-07-22,2022-08-04,2570,-2080.08,5.08,2022-08-04,1010,1732.46,2.54,3580,-347.6199999999999,7.62,2022-08-04,61
2022-07-29,2022-08-11,2365,-338.08,5.08,2022-08-11,800,327.46,2.54,3165,-10.620000000000005,7.62,2022-08-11,62
2022-08-05,2022-08-18,2765,-1843.08,5.08,2022-08-18,950,1502.46,2.54,3715,-340.6199999999999,7.62,2022-08-18,63
2022-08-12,2022-08-25,2515,691.92,5.08,2022-08-25,885,-800.54,2.54,3400,-108.62,7.62,2022-08-25,64
2022-08-19,2022-09-01,2115,-1048.08,5.08,2022-09-01,670,-670.54,2.54,2785,-1718.62,7.62,2022-09-01,65
2022-08-26,2022-09-08,3095,366.92,5.08,2022-09-08,1130,-960.54,2.54,4225,-593.6199999999999,7.62,2022-09-08,66
2022-09-02,2022-09-15,3040,1519.92,5.08,2022-09-15,1080,-325.54,2.54,4120,1194.38,7.62,2022-09-15,67
2022-09-09,2022-09-22,2420,-651.08,5.08,2022-09-22,800,-795.54,2.54,3220,-1446.62,7.62,2022-09-22,68
2022-09-16,2022-09-29,2500,1474.92,5.08,2022-09-29,935,-915.54,2.54,3435,559.3800000000001,7.62,2022-09-29,69
2022-09-23,2022-10-06,3085,1011.92,5.08,2022-10-06,1145,477.46,2.54,4230,1489.3799999999999,7.62,2022-10-06,70
2022-09-30,2022-10-13,2830,1059.92,5.08,2022-10-13,930,1004.46,2.54,3760,2064.38,7.62,2022-10-13,71
2022-10-07,2022-10-20,2790,1136.92,5.08,2022-10-20,995,-200.54,2.54,3785,936.3800000000001,7.62,2022-10-20,72
