Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2024-02-02,2024-02-08,2205,-193.08,5.08,2024-02-08,1040,342.46,2.54,3245,149.37999999999997,7.62,2024-02-08,135
2024-02-16,2024-02-22,2095,-848.08,5.08,2024-02-22,980,1182.46,2.54,3075,334.38,7.62,2024-02-22,136
2024-02-23,2024-02-29,2175,321.92,5.08,2024-02-29,1160,-315.54,2.54,3335,6.3799999999999955,7.62,2024-02-29,137
2024-03-01,2024-03-07,2085,901.92,5.08,2024-03-07,1120,607.46,2.54,3205,1509.38,7.62,2024-03-07,138
2024-03-08,2024-03-14,2330,706.92,5.08,2024-03-14,1185,-85.54,2.54,3515,621.38,7.62,2024-03-14,139
2024-03-15,2024-03-21,1380,-1016.08,5.08,2024-03-21,675,982.46,2.54,2055,-33.620000000000005,7.62,2024-03-21,140
2024-03-22,2024-03-28,2320,293.92,5.08,2024-03-28,1275,-25.54,2.54,3595,268.38,7.62,2024-03-28,141
2024-04-05,2024-04-11,2110,669.92,5.08,2024-04-11,1145,-267.54,2.54,3255,402.37999999999994,7.62,2024-04-11,142
2024-04-12,2024-04-18,2465,639.92,5.08,2024-04-18,1130,-1015.54,2.54,3595,-375.62,7.62,2024-04-18,143
2024-04-19,2024-04-25,3435,-1310.08,5.08,2024-04-25,1540,1032.46,2.54,4975,-277.6199999999999,7.62,2024-04-25,144
2024-04-26,2024-05-02,1945,889.92,5.08,2024-05-02,890,-590.54,2.54,2835,299.38,7.62,2024-05-02,145
2024-05-03,2024-05-09,3085,-1811.08,5.08,2024-05-09,1480,957.46,2.54,4565,-853.6199999999999,7.62,2024-05-09,146
2024-05-17,2024-05-23,1425,524.92,5.08,2024-05-23,755,-555.54,2.54,2180,-30.620000000000005,7.62,2024-05-23,147
2024-05-24,2024-05-30,2310,219.92,5.08,2024-05-30,1275,-940.54,2.54,3585,-720.62,7.62,2024-05-30,148
2024-05-31,2024-06-06,3120,-1723.08,5.08,2024-06-06,1500,1017.46,2.54,4620,-705.6199999999999,7.62,2024-06-06,149
2024-06-07,2024-06-13,1165,-524.08,5.08,2024-06-13,630,1187.46,2.54,1795,663.38,7.62,2024-06-13,150
2024-06-14,2024-06-20,2195,-405.08,5.08,2024-06-20,1165,997.46,2.54,3360,592.3800000000001,7.62,2024-06-20,151
2024-06-21,2024-06-27,1800,41.92,5.08,2024-06-27,1080,-170.54,2.54,2880,-128.62,7.62,2024-06-27,152
2024-06-28,2024-07-05,2480,-1891.08,5.08,2024-07-05,1335,552.46,2.54,3815,-1338.62,7.62,2024-07-05,153
2024-07-05,2024-07-11,1560,566.92,5.08,2024-07-11,880,452.46,2.54,2440,1019.3799999999999,7.62,2024-07-11,154
2024-07-12,2024-07-18,1695,719.92,5.08,2024-07-18,1005,-765.54,2.54,2700,-45.620000000000005,7.62,2024-07-18,155
2024-07-19,2024-07-25,3420,1339.92,5.08,2024-07-25,1550,-967.54,2.54,4970,372.3800000000001,7.62,2024-07-25,156
2024-07-26,2024-08-01,2090,1994.92,5.08,2024-08-01,965,-17.54,2.54,3055,1977.38,7.62,2024-08-01,157
2024-08-02,2024-08-08,4220,1874.92,5.08,2024-08-08,1395,-547.54,2.54,5615,1327.38,7.62,2024-08-08,158
