trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-07-16,2021-08-31,SPX,46,0.50,Inverse Butterfly 1-2-1 (calls),4365.01,4522.45,4365.0,4260.0,4470.0,2475.0,16.42,13.73,212.8,2475.0,635.0,1265.0,1995.0,WIN,expiration,3045.0,-1910.0,410.0,440.0,490.0,375.0,1340.0,1565.0,2420.0
2021-08-06,2021-09-17,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4431.13,4433.19,4430.0,4330.0,4530.0,2395.0,16.94,13.57,204.0,-7286.0,640.0,1280.0,-7286.0,LOSS,expiration,1280.0,-8035.0,0.0,640.0,735.0,845.0,95.0,-735.0,-1592.5
2021-09-03,2021-10-15,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4529.59,4471.01,4530.0,4440.0,4620.0,2020.0,16.6,11.68,179.5,-1081.0,690.0,1200.0,1527.5,LOSS,expiration,1947.5,-3865.0,-640.0,-1090.0,1265.0,1357.5,635.0,655.0,1740.0
2021-09-17,2021-10-29,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4451.54,4604.75,4450.0,4335.0,4565.0,2360.0,19.5,15.35,231.8,2360.0,605.0,1485.0,1835.0,WIN,expiration,2955.0,-3845.0,-1140.0,-1925.0,-3050.0,-1835.0,120.0,50.0,1485.0
2021-10-08,2021-11-19,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4398.49,4697.95,4400.0,4290.0,4510.0,2145.0,18.92,15.08,225.0,2145.0,580.0,1255.0,1715.0,WIN,expiration,2160.0,-2810.0,865.0,1545.0,1860.0,1750.0,1725.0,2130.0,1875.0
2021-10-15,2021-11-30,SPX,46,0.50,Inverse Butterfly 1-2-1 (calls),4465.65,4568.3,4465.0,4360.0,4570.0,2385.0,15.9,13.13,208.1,2215.0,600.0,1280.0,1815.0,WIN,expiration,2375.0,-2720.0,1365.0,1780.0,1965.0,2140.0,2150.0,1630.0,1995.0
2021-10-22,2021-12-03,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4552.15,4577.1,4550.0,4450.0,4650.0,2435.0,15.06,13.06,201.6,-4855.0,610.0,1345.0,1890.0,LOSS,expiration,1950.0,-6905.0,855.0,1090.0,1645.0,1500.0,965.0,555.0,900.0
2021-10-29,2021-12-10,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4585.1,4711.65,4590.0,4490.0,4690.0,2150.0,17.06,12.78,198.8,2150.0,545.0,1100.0,1675.0,WIN,expiration,1895.0,-3560.0,855.0,960.0,740.0,315.0,-585.0,-1065.0,270.0
2021-11-05,2021-12-17,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4713.96,4620.26,4715.0,4620.0,4810.0,2030.0,15.07,11.76,188.0,2004.0,1882.5,1882.5,1882.5,WIN,expiration,1882.5,-4520.0,-535.0,-660.0,-605.0,-1460.0,-1732.5,-2247.5,-1805.0
2021-11-12,2021-12-31,SPX,49,0.50,Inverse Butterfly 1-2-1 (calls),4653.64,4766.1,4655.0,4540.0,4770.0,2420.0,17.08,13.42,228.9,2030.0,630.0,1295.0,1865.0,WIN,expiration,2240.0,-2750.0,-245.0,-280.0,-1120.0,-1627.5,-125.0,-125.0,1555.0
2021-11-19,2021-12-31,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4710.65,4766.1,4710.0,4595.0,4825.0,2710.0,17.87,14.13,225.9,-3180.0,-3180.0,-3180.0,-3180.0,LOSS,expiration,195.0,-4855.0,-435.0,-985.0,-1560.0,-1067.5,-2310.0,-2310.0,130.0
2021-11-26,2022-01-07,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4624.37,4676.51,4625.0,4475.0,4775.0,2750.0,25.77,19.03,298.5,-7099.0,935.0,1375.0,-7099.0,LOSS,expiration,1870.0,-10385.0,-255.0,-1045.0,-80.0,1175.0,935.0,95.0,1870.0
2021-12-10,2022-01-21,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4687.31,4397.87,4685.0,4560.0,4810.0,2670.0,20.18,15.61,248.2,2670.0,710.0,2717.5,2717.5,WIN,expiration,2760.0,-3975.0,-795.0,145.0,-1290.0,-2592.5,-3127.5,-2265.0,-2265.0
2021-12-17,2022-01-31,SPX,45,0.50,Inverse Butterfly 1-2-1 (calls),4624.26,4515.44,4625.0,4485.0,4765.0,2710.0,22.2,17.47,283.6,-334.0,695.0,1360.0,2100.0,LOSS,expiration,2555.0,-3670.0,830.0,-1295.0,-2065.0,-2587.5,1377.5,-465.0,2555.0
2021-12-31,2022-02-11,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4775.22,4416.86,4775.0,4660.0,4890.0,2630.0,17.72,14.17,229.5,2630.0,1580.0,1580.0,1980.0,WIN,expiration,2630.0,-2730.0,-855.0,515.0,2502.5,1857.5,2277.5,2435.0,2590.0
2022-01-07,2022-02-18,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4703.29,4348.67,4705.0,4585.0,4825.0,2355.0,19.15,15.03,239.7,2355.0,600.0,1275.0,1805.0,WIN,expiration,2360.0,-2690.0,-725.0,1805.0,467.5,1175.0,670.0,2015.0,2122.5
2022-01-14,2022-02-28,SPX,45,0.50,Inverse Butterfly 1-2-1 (calls),4659.03,4373.75,4660.0,4525.0,4795.0,2560.0,20.24,16.21,265.1,2560.0,825.0,1425.0,2017.5,WIN,expiration,2560.0,-3070.0,-270.0,-1477.5,372.5,1570.0,2227.5,2517.5,2557.5
