date,trade_date,spot,pnl_usd,cumulative_pnl,mtm_pnl
2025-09-26,2025-09-26,6644.91,-450.0,-73775.0,-73775.0
2025-10-03,2025-10-03,6732.42,-530.0,-74305.0,-74305.0
2025-10-10,2025-10-10,6753.68,-540.0,-74845.0,-74845.0
2025-10-17,2025-10-17,6629.3,2445.0,-72400.0,-72400.0
2025-10-24,2025-10-24,6795.74,-3755.0,-76155.0,-76155.0
2025-10-31,2025-10-31,6854.96,-635.0,-76790.0,-76790.0
2025-11-07,2025-11-07,6681.36,695.0,-76095.0,-76095.0
2025-11-14,2025-11-14,6704.34,-790.0,-76885.0,-76885.0
2025-11-21,2025-11-21,6559.06,1110.0,-75775.0,-75775.0
2025-11-28,2025-11-28,6826.03,-3005.0,-78780.0,-78780.0
2025-12-05,2025-12-05,6881.42,-720.0,-79500.0,-79500.0
2025-12-12,2025-12-12,6886.59,-645.0,-80145.0,-80145.0
2025-12-19,2025-12-19,6827.03,-450.0,-80595.0,-80595.0
2025-12-26,2025-12-26,6935.88,-940.0,-81535.0,-81535.0
2026-01-02,2026-01-02,6887.78,-645.0,-82180.0,-82180.0
2026-01-09,2026-01-09,6941.61,-220.0,-82400.0,-82400.0
2026-01-16,2026-01-16,6943.39,-280.0,-82680.0,-82680.0
2026-01-23,2026-01-23,6911.09,-590.0,-83270.0,-83270.0
2026-01-30,2026-01-30,6940.53,-135.0,-83405.0,-83405.0
2026-02-06,2026-02-06,6868.99,-170.0,-83575.0,-83575.0
2026-02-13,2026-02-13,6816.57,430.0,-83145.0,-83145.0
2026-02-20,2026-02-20,6865.77,-1340.0,-84485.0,-84485.0
2026-02-27,2026-02-27,6844.69,-355.0,-84840.0,-84840.0
2026-03-06,2026-03-06,6724.02,1725.0,-83115.0,-83115.0
2026-03-13,2026-03-13,6715.58,-1970.0,-85085.0,-85085.0
2026-03-20,2026-03-20,6558.76,95.0,-84990.0,-84990.0
2026-03-27,2026-03-27,6415.1,2445.0,-82545.0,-82545.0
2026-04-10,2026-04-10,6832.8,-9510.0,-92055.0,-92055.0
2026-04-17,2026-04-17,7108.19,-795.0,-92850.0,-92850.0
2026-04-24,2026-04-24,7123.45,-70.0,-92920.0,-92920.0
2026-05-01,2026-05-01,7265.08,-1025.0,-93945.0,-93945.0
2026-05-08,2026-05-08,7389.46,-665.0,-94610.0,-94610.0
2026-05-15,2026-05-15,7410.59,-95.0,-94705.0,-94705.0
2026-05-22,2026-05-22,7493.28,-930.0,-95635.0,-95635.0
2026-05-29,2026-05-29,7596.39,-840.0,-96475.0,-96475.0
