date,trade_date,spot,pnl_usd,cumulative_pnl
2025-07-28,2025-07-28,6394.68,1695.0,204867.0
2025-08-04,2025-08-04,6297.76,2000.0,206867.0
2025-08-11,2025-08-11,6394.47,1820.0,208687.0
2025-08-18,2025-08-18,6448.08,1930.0,210617.0
2025-08-25,2025-08-25,6455.67,1895.0,212512.0
2025-09-08,2025-09-08,6497.08,1955.0,214467.0
2025-09-15,2025-09-15,6603.5,1790.0,216257.0
2025-09-22,2025-09-22,6652.89,1850.0,218107.0
2025-09-29,2025-09-29,6668.92,1910.0,220017.0
2025-10-06,2025-10-06,6726.17,3875.0,223892.0
2025-10-13,2025-10-13,6634.09,2215.0,226107.0
2025-10-20,2025-10-20,6709.6,2115.0,228222.0
2025-10-27,2025-10-27,6851.03,1840.0,230062.0
2025-11-03,2025-11-03,6852.89,2230.0,232292.0
2025-11-10,2025-11-10,6808.36,2150.0,234442.0
2025-11-17,2025-11-17,6736.49,1870.0,236312.0
2025-11-24,2025-11-24,6643.86,2095.0,238407.0
2025-12-01,2025-12-01,6806.53,1595.0,240002.0
2025-12-08,2025-12-08,6871.06,1805.0,241807.0
2025-12-15,2025-12-15,6844.19,1710.0,243517.0
2025-12-22,2025-12-22,6860.88,1551.0,245068.0
2025-12-29,2025-12-29,6912.35,3267.0,248335.0
2026-01-05,2026-01-05,6901.45,1860.0,250195.0
2026-01-12,2026-01-12,6953.11,3001.0,253196.0
2026-01-26,2026-01-26,6945.5,3965.0,257161.0
2026-02-02,2026-02-02,6948.28,4145.0,261306.0
2026-02-09,2026-02-09,6934.58,-4093.0,257213.0
2026-02-23,2026-02-23,6892.83,2390.0,259603.0
2026-03-02,2026-03-02,6835.28,2330.0,261933.0
2026-03-09,2026-03-09,6654.67,2430.0,264363.0
2026-03-16,2026-03-16,6705.54,2550.0,266913.0
2026-03-23,2026-03-23,6606.55,2335.0,269248.0
2026-03-30,2026-03-30,6396.4,2735.0,271983.0
2026-04-06,2026-04-06,6592.07,2645.0,274628.0
2026-04-13,2026-04-13,6793.04,2345.0,276973.0
