trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2022-05-13,2022-05-27,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3993.95,4158.34,3995.0,3860.0,4130.0,3035.0,29.71,28.65,224.1,3035.0,835.0,2065.0,2655.0,WIN,expiration,3095.0,-5575.0,130.0,-85.0,-1045.0,-1515.0,-1747.5
2022-05-20,2022-06-03,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3933.8,4108.23,3935.0,3815.0,4055.0,2810.0,28.22,25.81,198.9,2810.0,1165.0,1460.0,2220.0,WIN,expiration,2835.0,-2340.0,10.0,-155.0,305.0,1285.0,1285.0
2022-05-27,2022-06-10,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4115.44,3900.16,4115.0,4000.0,4230.0,2780.0,26.13,23.51,189.5,2780.0,2415.0,2415.0,2415.0,WIN,expiration,2785.0,-3905.0,-5.0,-30.0,-300.0,-955.0,-1640.0
2022-06-03,2022-06-17,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4134.22,3673.63,4135.0,4020.0,4250.0,2685.0,25.29,23.49,190.2,2685.0,950.0,1455.0,2270.0,WIN,expiration,2692.5,-1910.0,-95.0,-445.0,-155.0,2270.0,2460.0
2022-06-10,2022-06-24,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3935.06,3912.21,3935.0,3805.0,4065.0,3005.0,27.92,27.65,213.1,-7716.0,775.0,1757.5,2260.0,LOSS,expiration,2260.0,-9175.0,-60.0,165.0,1677.5,662.5,662.5
2022-06-17,2022-07-01,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3698.69,3825.03,3700.0,3575.0,3825.0,2985.0,31.44,29.1,210.8,2985.0,935.0,1575.0,2485.0,WIN,expiration,3507.5,-3790.0,5.0,-5.0,20.0,1375.0,2485.0
2022-06-24,2022-07-08,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3852.1,3899.18,3850.0,3735.0,3965.0,2855.0,28.4,25.38,191.4,-3727.0,-3727.0,-3727.0,-3727.0,LOSS,expiration,480.0,-9615.0,185.0,300.0,-905.0,-600.0,-600.0
2022-07-01,2022-07-15,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3800.64,3861.56,3800.0,3685.0,3915.0,2725.0,27.94,26.28,195.6,-2619.0,-2619.0,-2619.0,-2619.0,LOSS,expiration,335.0,-8485.0,-130.0,-140.0,175.0,-710.0,-1055.0
2022-07-08,2022-07-22,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3874.9,3962.24,3875.0,3770.0,3980.0,2400.0,25.76,22.82,173.2,624.0,780.0,1340.0,1915.0,WIN,expiration,1915.0,-3000.0,155.0,-275.0,-760.0,-1295.0,-1860.0
2022-07-15,2022-07-29,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3826.81,4130.48,3825.0,3710.0,3940.0,2535.0,25.31,25.17,188.6,2535.0,865.0,1565.0,1910.0,WIN,expiration,2535.0,-7040.0,-60.0,95.0,1565.0,635.0,85.0
2022-07-22,2022-08-05,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3991.17,4144.66,3990.0,3890.0,4090.0,2455.0,23.25,21.31,166.6,2455.0,630.0,1315.0,1880.0,WIN,expiration,2970.0,-2230.0,-35.0,-340.0,195.0,1040.0,720.0
2022-08-05,2022-08-19,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4131.1,4228.37,4130.0,4035.0,4225.0,2400.0,21.7,19.59,158.5,2400.0,745.0,1465.0,2045.0,WIN,expiration,2225.0,-1770.0,-15.0,-305.0,630.0,1450.0,1715.0
2022-08-12,2022-08-26,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4234.43,4058.29,4235.0,4155.0,4315.0,1855.0,19.84,16.38,135.8,1855.0,1295.0,1295.0,1712.5,WIN,expiration,1855.0,-2500.0,-90.0,215.0,60.0,-325.0,-55.0
2022-08-19,2022-09-02,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4237.6,3925.29,4240.0,4150.0,4330.0,2115.0,20.72,17.61,146.2,2115.0,565.0,1102.5,1685.0,WIN,expiration,2115.0,-1360.0,-25.0,-50.0,-560.0,1545.0,1787.5
2022-08-26,2022-09-09,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4197.3,4067.62,4195.0,4100.0,4290.0,2250.0,22.06,19.33,158.9,2250.0,607.5,1175.0,1880.0,WIN,expiration,2250.0,-1140.0,-155.0,677.5,1742.5,2145.0,2145.0
2022-09-02,2022-09-16,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3983.57,3872.56,3985.0,3885.0,4085.0,2360.0,24.16,20.86,162.8,2360.0,700.0,1865.0,1865.0,WIN,expiration,2350.0,-2725.0,55.0,-430.0,-540.0,700.0,-1265.0
2022-09-09,2022-09-23,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4045.35,3695.23,4045.0,3940.0,4150.0,2660.0,22.91,21.98,174.1,2660.0,1232.5,1637.5,2427.5,WIN,expiration,2652.5,-1130.0,150.0,-20.0,540.0,1075.0,1260.0
2022-09-16,2022-09-30,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3840.48,3589.7,3840.0,3715.0,3965.0,2695.0,28.34,28.23,212.3,2695.0,972.5,1572.5,2160.0,WIN,expiration,2705.0,-3000.0,-40.0,-175.0,-1075.0,-500.0,-477.5
2022-09-23,2022-10-07,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3691.77,3640.38,3690.0,3565.0,3815.0,2850.0,29.13,28.98,209.5,-4688.0,-4688.0,-4688.0,-4688.0,LOSS,expiration,0.0,-6695.0,-20.0,-150.0,-770.0,-1390.0,-505.0
2022-09-30,2022-10-14,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3643.29,3585.73,3645.0,3520.0,3770.0,2735.0,31.01,29.4,209.7,-3838.0,-3838.0,-3838.0,-3838.0,LOSS,expiration,615.0,-6365.0,-40.0,530.0,60.0,-1090.0,-1055.0
2022-10-07,2022-10-21,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),3667.11,3752.75,3665.0,3535.0,3795.0,2965.0,31.61,30.05,215.8,-1260.0,-1260.0,-1260.0,-1260.0,LOSS,expiration,0.0,-7210.0,-65.0,-335.0,-890.0,-1735.0,-1160.0
