trade_date,exp_date,underlying,dte_entry,spot_entry,spot_exit,iv_atm_pct,vix_entry,short_put,short_call,delta_put,delta_call,total_credit,pnl_usd,in_range,result,exit_method,pnl_tp25,pnl_tp50,pnl_tp75,pnl_dte14,pnl_dte7,pnl_tp25_d14,pnl_tp50_d14,pnl_tp75_d14,pnl_tp25_d7,pnl_tp50_d7,pnl_tp75_d7
2025-05-09,2025-06-20,RUT,42,2035.39,2109.15,,21.95,1800.0,2300.0,-0.1008,0.0624,14.7,1470.0,,WIN,expiration,367.5,735.0,1102.5,1173.0,1375.0,367.5,735.0,1102.5,367.5,735.0,1102.5
2025-05-16,2025-06-27,RUT,42,2102.85,2172.8,,17.48,1895.0,2290.0,-0.0986,0.1037,15.2,1520.0,,WIN,expiration,380.0,760.0,1140.0,1122.0,1338.0,380.0,760.0,1122.0,380.0,760.0,1140.0
2025-05-23,2025-06-30,RUT,38,2027.47,2175.55,,23.2,1790.0,2240.0,-0.1005,0.0837,15.78,1578.0,,WIN,expiration,394.5,789.0,1183.5,1066.0,1428.0,394.5,789.0,1066.0,394.5,789.0,1183.5
2025-05-30,2025-07-11,RUT,42,2053.72,2234.81,,19.7,1815.0,2270.0,-0.1013,0.0838,16.1,1610.0,,WIN,expiration,402.5,805.0,1207.5,955.0,-70.0,402.5,805.0,1207.5,402.5,805.0,1207.5
2025-06-06,2025-07-18,RUT,42,2123.62,2240.03,,17.2,1900.0,2350.0,-0.0976,0.0845,14.95,1495.0,,WIN,expiration,373.75,747.5,1121.25,760.0,1150.0,373.75,747.5,1121.25,373.75,747.5,1121.25
2025-06-13,2025-07-25,RUT,42,2105.76,2261.02,,20.48,1865.0,2335.0,-0.1004,0.081,16.0,1600.0,,WIN,expiration,400.0,800.0,1200.0,418.0,1273.0,400.0,800.0,418.0,400.0,800.0,1200.0
2025-06-20,2025-08-01,RUT,42,2122.7,2166.4,,19.64,1880.0,2350.0,-0.0985,0.0817,15.8,1580.0,,WIN,expiration,395.0,790.0,1185.0,577.0,1235.0,395.0,790.0,577.0,395.0,790.0,1185.0
2025-06-27,2025-08-08,RUT,42,2175.36,2218.52,,16.28,1955.0,2360.0,-0.1004,0.1314,19.0,1900.0,,WIN,expiration,475.0,950.0,1425.0,1170.0,1770.0,475.0,950.0,1170.0,475.0,950.0,1425.0
2025-07-11,2025-08-22,RUT,42,2246.78,2361.94,,16.62,2015.0,2475.0,-0.1012,0.0959,17.2,1720.0,,WIN,expiration,430.0,860.0,1290.0,1305.0,1652.0,430.0,860.0,1290.0,430.0,860.0,1290.0
2025-07-18,2025-08-29,RUT,42,2261.94,2366.11,,16.38,2020.0,2570.0,-0.0974,0.0819,17.2,1720.0,,WIN,expiration,430.0,860.0,1290.0,1572.0,1650.0,430.0,860.0,1290.0,430.0,860.0,1290.0
2025-07-25,2025-09-05,RUT,42,2249.53,2391.14,,15.25,2055.0,2485.0,-0.1305,0.079,18.75,1875.0,,WIN,expiration,468.75,937.5,1406.25,1545.0,1687.0,468.75,937.5,1406.25,468.75,937.5,1406.25
2025-08-01,2025-09-12,RUT,42,2151.37,2396.71,,20.89,2010.0,2390.0,-0.2199,0.0789,34.55,2784.0,,WIN,expiration,863.75,1727.5,2784.0,-20.0,603.0,863.75,1727.5,-20.0,863.75,1727.5,603.0
2025-08-08,2025-09-19,RUT,42,2220.06,2448.43,,15.89,1975.0,2450.0,-0.0989,0.0885,16.7,1670.0,,WIN,expiration,417.5,835.0,1252.5,-133.0,-218.0,417.5,-133.0,-133.0,417.5,-218.0,-218.0
2025-08-15,2025-09-26,RUT,42,2294.67,2433.83,,14.93,2080.0,2535.0,-0.1011,0.078,14.7,1470.0,,WIN,expiration,367.5,735.0,1102.5,720.0,715.0,367.5,735.0,720.0,367.5,735.0,1102.5
2025-08-22,2025-10-03,RUT,42,2289.23,2476.24,,16.45,2045.0,2495.0,-0.1001,0.1293,20.8,2080.0,,WIN,expiration,520.0,1040.0,1560.0,-972.0,1582.0,520.0,-972.0,-972.0,520.0,1040.0,1560.0
2025-08-29,2025-10-10,RUT,42,2375.74,2394.07,,15.29,2150.0,2610.0,-0.0991,0.0957,16.65,1665.0,,WIN,expiration,416.25,832.5,1248.75,1385.0,1580.0,416.25,832.5,1248.75,416.25,832.5,1248.75
