trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2023-04-11,2023-04-11,SPX,0,JL,4110.93,19.1,4095.0,4065.0,4115.0,4120.0,30.0,5.0,15.93,513.0,4108.94,18.96,513.0,513.0,WIN,expiration,2023-04-11,0,,2487.0,51.3,128.25,256.5,384.75
2023-04-12,2023-04-12,SPX,0,JL,4128.6,25.6,4100.0,4070.0,4130.0,4135.0,30.0,5.0,28.6,500.0,4091.95,19.1,-267.0,-267.0,LOSS,expiration,2023-04-12,0,,2500.0,50.0,125.0,250.0,-267.0
2023-04-13,2023-04-13,SPX,0,JL,4104.21,19.0,4085.0,4055.0,4105.0,4110.0,30.0,5.0,19.21,525.0,4146.22,19.09,25.0,25.0,WIN,expiration,2023-04-13,0,,2475.0,52.5,25.0,25.0,25.0
2023-04-14,2023-04-14,SPX,0,JL,4142.53,19.85,4125.0,4095.0,4145.0,4150.0,30.0,5.0,17.53,553.0,4137.64,17.8,553.0,553.0,WIN,expiration,2023-04-14,0,,2447.0,55.3,138.25,276.5,414.75
2023-04-17,2023-04-17,SPX,0,JL,4136.02,17.35,4125.0,4095.0,4140.0,4145.0,30.0,5.0,11.02,600.0,4151.32,17.07,100.0,100.0,WIN,expiration,2023-04-17,0,,2400.0,60.0,150.0,300.0,100.0
2023-04-18,2023-04-18,SPX,0,JL,4163.79,17.1,4150.0,4120.0,4165.0,4170.0,30.0,5.0,13.79,533.0,4154.87,16.94,533.0,533.0,WIN,expiration,2023-04-18,0,,2467.0,53.3,133.25,266.5,399.75
2023-04-19,2023-04-19,SPX,0,JL,4137.15,18.75,4125.0,4095.0,4140.0,4145.0,30.0,5.0,12.15,583.0,4154.52,16.83,83.0,83.0,WIN,expiration,2023-04-19,0,,2417.0,58.3,145.75,83.0,83.0
2023-04-20,2023-04-20,SPX,0,JL,4124.46,18.5,4110.0,4080.0,4125.0,4130.0,30.0,5.0,14.46,557.0,4129.79,16.48,57.0,57.0,WIN,expiration,2023-04-20,0,,2443.0,55.7,139.25,278.5,417.75
2023-04-21,2023-04-21,SPX,0,JL,4130.57,18.75,4115.0,4085.0,4135.0,4140.0,30.0,5.0,15.57,558.0,4133.52,17.16,558.0,558.0,WIN,expiration,2023-04-21,0,,2442.0,55.8,139.5,279.0,418.5
2023-04-24,2023-04-24,SPX,0,JL,4134.7,16.15,4120.0,4090.0,4135.0,4140.0,30.0,5.0,14.7,513.0,4137.04,16.75,281.0,281.0,WIN,expiration,2023-04-24,0,,2487.0,51.3,128.25,256.5,384.75
2023-04-25,2023-04-25,SPX,0,JL,4119.62,16.15,4110.0,4080.0,4120.0,4125.0,30.0,5.0,9.62,603.0,4071.63,16.87,-2398.0,-2398.0,LOSS,expiration,2023-04-25,0,,2397.0,60.3,-2398.0,-2398.0,-2398.0
2023-04-26,2023-04-26,SPX,0,JL,4081.87,21.5,4060.0,4030.0,4085.0,4090.0,30.0,5.0,21.87,542.0,4055.99,18.8,169.0,169.0,WIN,expiration,2023-04-26,0,,2458.0,54.2,135.5,271.0,169.0
2023-04-27,2023-04-27,SPX,0,JL,4078.91,17.65,4060.0,4030.0,4080.0,4085.0,30.0,5.0,18.91,510.0,4135.35,18.84,10.0,10.0,WIN,expiration,2023-04-27,0,,2490.0,10.0,10.0,10.0,10.0
2023-04-28,2023-04-28,SPX,0,JL,4130.63,19.35,4115.0,4085.0,4135.0,4140.0,30.0,5.0,15.63,543.0,4169.48,17.0,43.0,43.0,WIN,expiration,2023-04-28,0,,2457.0,54.3,43.0,43.0,43.0
2023-05-01,2023-05-01,SPX,0,JL,4168.08,17.95,4155.0,4125.0,4170.0,4175.0,30.0,5.0,13.08,558.0,4167.87,15.75,558.0,558.0,WIN,expiration,2023-05-01,0,,2442.0,55.8,139.5,279.0,418.5
2023-05-02,2023-05-02,SPX,0,JL,4155.45,16.75,4145.0,4115.0,4160.0,4165.0,30.0,5.0,10.45,568.0,4119.58,16.08,-2027.0,-2027.0,LOSS,expiration,2023-05-02,0,,2432.0,-2027.0,-2027.0,-2027.0,-2027.0
2023-05-03,2023-05-03,SPX,0,JL,4125.67,40.0,4075.0,4045.0,4130.0,4135.0,30.0,5.0,50.67,532.0,4090.75,17.78,532.0,532.0,WIN,expiration,2023-05-03,0,,2468.0,53.2,133.0,266.0,399.0
2023-05-04,2023-05-04,SPX,0,JL,4079.63,28.65,4040.0,4010.0,4080.0,4085.0,30.0,5.0,39.63,500.0,4061.22,18.33,500.0,500.0,WIN,expiration,2023-05-04,0,,2500.0,50.0,125.0,250.0,375.0
2023-05-05,2023-05-05,SPX,0,JL,4098.41,24.2,4070.0,4040.0,4100.0,4105.0,30.0,5.0,28.41,530.0,4136.25,20.05,30.0,30.0,WIN,expiration,2023-05-05,0,,2470.0,53.0,30.0,30.0,30.0
2023-05-08,2023-05-08,SPX,0,JL,4139.84,18.6,4120.0,4090.0,4140.0,4145.0,30.0,5.0,19.84,505.0,4138.12,17.21,505.0,505.0,WIN,expiration,2023-05-08,0,,2495.0,50.5,126.25,252.5,378.75
2023-05-09,2023-05-09,SPX,0,JL,4120.58,18.55,4105.0,4075.0,4125.0,4130.0,30.0,5.0,15.58,545.0,4119.17,16.96,545.0,545.0,WIN,expiration,2023-05-09,0,,2455.0,54.5,136.25,272.5,408.75
2023-05-10,2023-05-10,SPX,0,JL,4148.8,22.35,4125.0,4095.0,4150.0,4155.0,30.0,5.0,23.8,512.0,4137.64,17.69,512.0,512.0,WIN,expiration,2023-05-10,0,,2488.0,51.2,128.0,256.0,384.0
2023-05-11,2023-05-11,SPX,0,JL,4128.48,22.7,4105.0,4075.0,4130.0,4135.0,30.0,5.0,23.48,562.0,4130.62,16.93,561.0,561.0,WIN,expiration,2023-05-11,0,,2438.0,56.2,140.5,281.0,421.5
2023-05-12,2023-05-12,SPX,0,JL,4141.23,18.8,4125.0,4095.0,4145.0,4150.0,30.0,5.0,16.23,520.0,4124.08,16.93,405.0,405.0,WIN,expiration,2023-05-12,0,,2480.0,52.0,130.0,260.0,390.0
2023-05-15,2023-05-15,SPX,0,JL,4127.97,18.65,4110.0,4080.0,4130.0,4135.0,30.0,5.0,17.97,530.0,4136.28,17.05,30.0,30.0,WIN,expiration,2023-05-15,0,,2470.0,53.0,132.5,265.0,30.0
2023-05-16,2023-05-16,SPX,0,JL,4126.2,18.3,4110.0,4080.0,4130.0,4135.0,30.0,5.0,16.2,537.0,4109.9,17.11,527.0,527.0,WIN,expiration,2023-05-16,0,,2463.0,53.7,134.25,268.5,402.75
2023-05-17,2023-05-17,SPX,0,JL,4129.55,17.5,4115.0,4085.0,4130.0,4135.0,30.0,5.0,14.55,557.0,4158.77,18.0,57.0,57.0,WIN,expiration,2023-05-17,0,,2443.0,55.7,139.25,57.0,57.0
2023-05-18,2023-05-18,SPX,0,JL,4156.14,19.5,4140.0,4110.0,4160.0,4165.0,30.0,5.0,16.14,558.0,4198.05,16.88,58.0,58.0,WIN,expiration,2023-05-18,0,,2442.0,55.8,139.5,58.0,58.0
2023-05-19,2023-05-19,SPX,0,JL,4206.79,21.0,4185.0,4155.0,4210.0,4215.0,30.0,5.0,21.79,507.0,4191.98,16.1,507.0,507.0,WIN,expiration,2023-05-19,0,,2493.0,50.7,126.75,253.5,380.25
2023-05-22,2023-05-22,SPX,0,JL,4193.55,19.55,4175.0,4145.0,4195.0,4200.0,30.0,5.0,18.55,555.0,4192.63,16.81,555.0,555.0,WIN,expiration,2023-05-22,0,,2445.0,55.5,138.75,277.5,416.25
2023-05-23,2023-05-23,SPX,0,JL,4173.28,22.2,4150.0,4120.0,4175.0,4180.0,30.0,5.0,23.28,518.0,4145.58,17.19,115.0,115.0,WIN,expiration,2023-05-23,0,,2482.0,51.8,129.5,259.0,388.5
2023-05-24,2023-05-24,SPX,0,JL,4127.55,24.65,4100.0,4070.0,4130.0,4135.0,30.0,5.0,27.55,525.0,4115.24,18.49,525.0,525.0,WIN,expiration,2023-05-24,0,,2475.0,52.5,131.25,262.5,393.75
2023-05-25,2023-05-25,SPX,0,JL,4145.29,27.7,4110.0,4080.0,4150.0,4155.0,30.0,5.0,35.29,500.0,4151.28,20.02,373.0,373.0,WIN,expiration,2023-05-25,0,,2500.0,50.0,125.0,250.0,373.0
2023-05-26,2023-05-26,SPX,0,JL,4160.48,25.6,4130.0,4100.0,4165.0,4170.0,30.0,5.0,30.48,503.0,4205.45,19.15,3.0,3.0,WIN,expiration,2023-05-26,0,,2497.0,50.3,3.0,3.0,3.0
2023-05-30,2023-05-30,SPX,0,JL,4227.35,22.25,4205.0,4175.0,4230.0,4235.0,30.0,5.0,22.35,530.0,4205.52,17.93,530.0,530.0,WIN,expiration,2023-05-30,0,,2470.0,53.0,132.5,265.0,397.5
2023-05-31,2023-05-31,SPX,0,JL,4187.77,22.15,4165.0,4135.0,4190.0,4195.0,30.0,5.0,22.77,532.0,4179.83,17.46,532.0,532.0,WIN,expiration,2023-05-31,0,,2468.0,53.2,133.0,266.0,399.0
2023-06-01,2023-06-01,SPX,0,JL,4183.03,20.3,4165.0,4135.0,4185.0,4190.0,30.0,5.0,18.03,553.0,4221.02,17.95,53.0,53.0,WIN,expiration,2023-06-01,0,,2447.0,55.3,138.25,53.0,53.0
2023-06-02,2023-06-02,SPX,0,JL,4254.22,20.7,4230.0,4200.0,4255.0,4260.0,30.0,5.0,24.22,507.0,4282.37,15.64,7.0,7.0,WIN,expiration,2023-06-02,0,,2493.0,50.7,7.0,7.0,7.0
2023-06-05,2023-06-05,SPX,0,JL,4286.96,18.65,4270.0,4240.0,4290.0,4295.0,30.0,5.0,16.96,512.0,4273.79,14.6,512.0,512.0,WIN,expiration,2023-06-05,0,,2488.0,51.2,128.0,256.0,384.0
2023-06-06,2023-06-06,SPX,0,JL,4267.22,19.6,4250.0,4220.0,4270.0,4275.0,30.0,5.0,17.22,560.0,4283.85,14.73,60.0,60.0,WIN,expiration,2023-06-06,0,,2440.0,56.0,140.0,280.0,60.0
2023-06-07,2023-06-07,SPX,0,JL,4288.49,17.4,4275.0,4245.0,4290.0,4295.0,30.0,5.0,13.49,525.0,4267.52,13.97,-221.0,-221.0,LOSS,expiration,2023-06-07,0,,2475.0,52.5,-221.0,-221.0,-221.0
2023-06-08,2023-06-08,SPX,0,JL,4268.15,17.7,4255.0,4225.0,4270.0,4275.0,30.0,5.0,13.15,555.0,4293.93,13.93,55.0,55.0,WIN,expiration,2023-06-08,0,,2445.0,55.5,55.0,55.0,55.0
2023-06-09,2023-06-09,SPX,0,JL,4302.95,18.25,4290.0,4260.0,4305.0,4310.0,30.0,5.0,12.95,592.0,4298.86,13.65,592.0,592.0,WIN,expiration,2023-06-09,0,,2408.0,59.2,148.0,296.0,444.0
