trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2024-05-17,2024-05-31,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5298.56,5280.01,5300.0,5285.0,5315.0,100.0,12.36,8.83,91.6,100.0,25.0,50.0,75.0,WIN,expiration,205.0,-1160.0,10.0,0.0,-50.0,-15.0,-15.0,25.0,25.0,25.0,25.0,25.0,50.0,50.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,75.0
2024-05-24,2024-06-07,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5282.08,5346.3,5280.0,5265.0,5295.0,95.0,12.59,10.18,105.3,95.0,23.75,47.5,71.25,WIN,expiration,320.0,-2080.0,10.0,90.0,-10.0,-115.0,-20.0,23.75,23.75,23.75,23.75,23.75,10.0,47.5,47.5,47.5,47.5,10.0,71.25,71.25,71.25,71.25
2024-05-31,2024-06-14,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5239.0,5432.35,5240.0,5220.0,5260.0,115.0,13.69,12.4,127.2,115.0,28.75,57.5,86.25,WIN,expiration,390.0,-7050.0,-20.0,60.0,50.0,15.0,40.0,28.75,28.75,28.75,28.75,28.75,57.5,57.5,57.5,57.5,57.5,86.25,86.25,86.25,86.25,86.25
2024-06-07,2024-06-21,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5347.82,5467.65,5350.0,5335.0,5365.0,70.0,12.58,11.0,115.2,70.0,17.5,35.0,52.5,WIN,expiration,345.0,-5010.0,0.0,-15.0,55.0,35.0,180.0,17.5,17.5,17.5,17.5,17.5,35.0,35.0,35.0,35.0,35.0,52.5,52.5,52.5,52.5,52.5
2024-06-21,2024-07-05,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5459.93,5566.69,5460.0,5445.0,5475.0,85.0,13.61,10.69,114.3,85.0,21.25,42.5,63.75,WIN,expiration,310.0,-2110.0,10.0,310.0,-0.0,90.0,-40.0,10.0,21.25,21.25,21.25,21.25,10.0,42.5,42.5,42.5,42.5,10.0,63.75,63.75,63.75,63.75
2024-06-28,2024-07-12,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5501.89,5615.93,5500.0,5480.0,5520.0,135.0,12.3,10.89,117.4,135.0,33.75,67.5,101.25,WIN,expiration,455.0,-4190.0,30.0,455.0,160.0,5.0,75.0,30.0,33.75,33.75,33.75,33.75,30.0,67.5,67.5,67.5,67.5,30.0,101.25,101.25,101.25,101.25
2024-07-05,2024-07-19,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5545.13,5505.73,5545.0,5530.0,5560.0,85.0,12.17,9.32,101.2,85.0,21.25,42.5,63.75,WIN,expiration,150.0,-2210.0,-10.0,15.0,0.0,70.0,90.0,-10.0,21.25,21.25,21.25,21.25,-10.0,42.5,42.5,42.5,42.5,-10.0,15.0,63.75,63.75,63.75
2024-07-12,2024-07-26,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5608.55,5459.51,5610.0,5595.0,5625.0,135.0,12.33,9.14,100.4,135.0,33.75,67.5,101.25,WIN,expiration,135.0,-3290.0,65.0,-15.0,30.0,45.0,20.0,33.75,33.75,33.75,33.75,33.75,65.0,67.5,67.5,67.5,67.5,65.0,101.25,101.25,101.25,101.25
2024-07-19,2024-08-02,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5546.86,5345.52,5545.0,5525.0,5565.0,110.0,15.96,13.51,146.8,110.0,27.5,55.0,82.5,WIN,expiration,180.0,-1760.0,-10.0,15.0,20.0,-30.0,-40.0,-10.0,27.5,27.5,27.5,27.5,-10.0,55.0,55.0,55.0,55.0,-10.0,82.5,82.5,82.5,82.5
2024-07-26,2024-08-09,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5447.39,5343.97,5445.0,5420.0,5470.0,355.0,17.38,16.09,171.7,355.0,88.75,177.5,266.25,WIN,expiration,385.0,-4760.0,205.0,385.0,375.0,172.5,272.5,88.75,88.75,88.75,88.75,88.75,177.5,177.5,177.5,177.5,177.5,205.0,266.25,266.25,266.25,266.25
