trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2023-06-30,2023-07-13,SPX,14,460.0,98.38,13.59,WIN,expiration,True
2023-07-07,2023-07-20,SPX,14,490.0,-95.62,14.83,LOSS,expiration,False
2023-07-14,2023-07-27,SPX,14,390.0,99.38,13.34,WIN,expiration,True
2023-07-21,2023-08-03,SPX,14,390.0,23.38,13.6,WIN,expiration,True
2023-07-28,2023-08-10,SPX,14,470.0,-23.62,13.33,LOSS,expiration,False
2023-08-04,2023-08-17,SPX,14,545.0,-56.62,17.1,LOSS,expiration,False
2023-08-11,2023-08-24,SPX,14,520.0,-3.62,14.84,LOSS,expiration,False
2023-08-18,2023-08-31,SPX,14,670.0,-121.62,17.3,LOSS,expiration,False
2023-08-25,2023-09-07,SPX,14,550.0,-133.62,15.68,LOSS,expiration,False
2023-09-01,2023-09-14,SPX,14,440.0,-59.62,13.09,LOSS,expiration,False
2023-09-08,2023-09-21,SPX,14,460.0,171.38,13.84,WIN,expiration,True
2023-09-15,2023-09-28,SPX,14,490.0,-275.62,13.79,LOSS,expiration,False
2023-09-22,2023-10-05,SPX,14,565.0,-63.62,17.2,LOSS,expiration,False
2023-09-29,2023-10-12,SPX,14,615.0,41.38,17.52,WIN,expiration,True
2023-10-06,2023-10-19,SPX,14,590.0,441.38,17.45,WIN,expiration,True
2023-10-13,2023-10-26,SPX,14,590.0,264.38,19.32,WIN,expiration,True
2023-10-20,2023-11-02,SPX,14,580.0,-164.62,21.71,LOSS,expiration,False
2023-10-27,2023-11-09,SPX,14,660.0,-471.62,21.27,LOSS,expiration,False
2023-11-03,2023-11-16,SPX,14,500.0,-548.62,14.91,LOSS,expiration,False
2023-11-10,2023-11-24,SPX,14,590.0,-446.62,14.17,LOSS,expiration,False
2023-11-17,2023-11-30,SPX,14,505.0,-5.62,13.8,LOSS,expiration,False
2023-11-24,2023-12-07,SPX,14,455.0,16.38,12.46,WIN,expiration,True
2023-12-01,2023-12-14,SPX,14,370.0,71.38,12.63,WIN,expiration,True
2023-12-08,2023-12-21,SPX,14,380.0,113.38,12.35,WIN,expiration,True
2023-12-15,2023-12-28,SPX,14,495.0,141.38,12.28,WIN,expiration,True
2023-12-22,2024-01-04,SPX,14,485.0,-183.62,13.03,LOSS,expiration,False
2023-12-29,2024-01-11,SPX,14,645.0,-106.62,12.45,LOSS,expiration,False
2024-01-05,2024-01-18,SPX,14,555.0,66.38,13.35,WIN,expiration,True
2024-01-12,2024-01-25,SPX,14,470.0,126.38,12.7,WIN,expiration,True
2024-01-19,2024-02-01,SPX,14,410.0,219.38,13.3,WIN,expiration,True
2024-01-26,2024-02-08,SPX,14,440.0,133.38,13.26,WIN,expiration,True
2024-02-02,2024-02-15,SPX,14,570.0,23.38,13.85,WIN,expiration,True
2024-02-09,2024-02-22,SPX,14,475.0,231.38,12.93,WIN,expiration,True
2024-02-16,2024-02-29,SPX,14,505.0,26.38,14.24,WIN,expiration,True
2024-02-23,2024-03-07,SPX,14,450.0,106.38,13.75,WIN,expiration,True
2024-03-01,2024-03-14,SPX,14,545.0,78.38,13.11,WIN,expiration,True
2024-03-08,2024-03-21,SPX,14,485.0,154.38,14.74,WIN,expiration,True
2024-03-15,2024-03-28,SPX,14,585.0,83.38,14.41,WIN,expiration,True
2024-03-22,2024-04-04,SPX,14,530.0,249.38,13.06,WIN,expiration,True
2024-04-05,2024-04-18,SPX,14,555.0,196.38,16.03,WIN,expiration,True
2024-04-12,2024-04-25,SPX,14,595.0,-198.62,17.31,LOSS,expiration,False
2024-04-19,2024-05-02,SPX,14,620.0,-17.62,18.71,LOSS,expiration,False
2024-04-26,2024-05-09,SPX,14,625.0,-78.62,15.03,LOSS,expiration,False
2024-05-03,2024-05-16,SPX,14,545.0,-306.62,13.49,LOSS,expiration,False
2024-05-10,2024-05-23,SPX,14,545.0,54.38,12.55,WIN,expiration,True
2024-05-17,2024-05-30,SPX,14,570.0,-8.62,11.99,LOSS,expiration,False
2024-05-24,2024-06-06,SPX,14,480.0,171.38,11.93,WIN,expiration,True
2024-05-31,2024-06-13,SPX,14,465.0,-303.62,12.92,LOSS,expiration,False
2024-06-07,2024-06-20,SPX,14,440.0,88.38,12.22,WIN,expiration,True
2024-06-14,2024-06-27,SPX,14,565.0,-23.62,12.66,LOSS,expiration,False
2024-06-21,2024-07-05,SPX,14,610.0,47.38,13.2,WIN,expiration,True
2024-06-28,2024-07-11,SPX,14,575.0,366.38,12.44,WIN,expiration,True
2024-07-05,2024-07-18,SPX,14,410.0,262.38,12.48,WIN,expiration,True
2024-07-12,2024-07-25,SPX,14,535.0,-377.62,12.46,LOSS,expiration,False
2024-07-19,2024-08-01,SPX,14,550.0,451.38,16.52,WIN,expiration,True
2024-07-26,2024-08-08,SPX,14,580.0,761.38,16.39,WIN,expiration,True
2024-08-02,2024-08-15,SPX,14,790.0,-103.62,23.39,LOSS,expiration,False
2024-08-09,2024-08-22,SPX,14,615.0,-13.62,20.37,LOSS,expiration,False
2024-08-16,2024-08-29,SPX,14,715.0,6.38,14.8,WIN,expiration,True
2024-08-23,2024-09-05,SPX,14,530.0,181.38,15.86,WIN,expiration,True
2024-08-30,2024-09-12,SPX,14,580.0,208.38,15.0,WIN,expiration,True
2024-09-06,2024-09-19,SPX,14,695.0,-385.62,22.38,LOSS,expiration,False
2024-09-13,2024-09-26,SPX,14,690.0,291.38,16.56,WIN,expiration,True
2024-09-20,2024-10-03,SPX,14,575.0,819.38,16.15,WIN,expiration,True
2024-09-27,2024-10-10,SPX,14,635.0,221.38,16.96,WIN,expiration,True
2024-10-04,2024-10-17,SPX,14,640.0,41.38,19.21,WIN,expiration,True
2024-10-11,2024-10-24,SPX,14,955.0,-303.62,20.46,LOSS,expiration,False
2024-10-18,2024-10-31,SPX,14,560.0,394.38,18.03,WIN,expiration,True
2024-10-25,2024-11-07,SPX,14,755.0,33.38,20.33,WIN,expiration,True
2024-11-01,2024-11-14,SPX,14,555.0,-28.62,21.88,LOSS,expiration,False
2024-11-08,2024-11-21,SPX,14,710.0,-188.62,14.94,LOSS,expiration,False
2024-11-15,2024-11-29,SPX,14,740.0,-474.62,16.14,LOSS,expiration,False
2024-11-22,2024-12-05,SPX,14,780.0,-26.62,15.24,LOSS,expiration,False
2024-11-29,2024-12-12,SPX,14,580.0,-41.62,13.51,LOSS,expiration,False
2024-12-06,2024-12-19,SPX,14,545.0,-35.62,12.77,LOSS,expiration,False
2024-12-13,2024-12-26,SPX,14,680.0,-96.62,13.81,LOSS,expiration,False
2024-12-20,2025-01-02,SPX,14,820.0,-376.62,18.36,LOSS,expiration,False
2024-12-27,2025-01-10,SPX,14,640.0,56.38,15.95,WIN,expiration,True
2025-01-03,2025-01-16,SPX,14,885.0,144.38,16.13,WIN,expiration,True
2025-01-10,2025-01-23,SPX,14,805.0,-718.62,19.54,LOSS,expiration,False
2025-01-17,2025-01-30,SPX,14,610.0,311.38,15.97,WIN,expiration,True
2025-01-24,2025-02-06,SPX,14,575.0,106.38,14.85,WIN,expiration,True
2025-01-31,2025-02-13,SPX,14,830.0,-216.62,16.43,LOSS,expiration,False
