trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2022-02-18,2022-03-18,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4392.71,4462.85,4395.0,4185.0,4605.0,5890.0,27.85,22.84,277.8,-8325.0,-8325.0,-8325.0,-8325.0,LOSS,expiration,922.5,-12430.0,-1565.0,-1760.0,-897.5,-2765.0,-965.0,-440.0
2022-02-25,2022-03-25,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4288.7,4543.05,4290.0,4065.0,4515.0,6455.0,29.85,25.32,300.8,6455.0,1613.75,3227.5,4841.25,WIN,expiration,6330.0,-6070.0,1275.0,-1790.0,-3090.0,-1280.0,265.0,1900.0
2022-03-04,2022-04-01,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4363.49,4544.79,4365.0,4160.0,4570.0,5045.0,32.94,22.68,274.1,2524.0,1261.25,2522.5,3783.75,WIN,expiration,4180.0,-4710.0,-1805.0,-2525.0,-1090.0,-250.0,1025.0,3540.0
2022-03-11,2022-04-08,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4274.69,4489.24,4275.0,4050.0,4500.0,6230.0,29.79,25.61,303.2,5154.0,1557.5,3115.0,4672.5,WIN,expiration,5870.0,-4100.0,990.0,2720.0,4875.0,3335.0,5190.0,5770.0
2022-03-18,2022-04-14,SPX,27,0.75,Inverse Butterfly 1-2-1 (calls),4407.41,4392.44,4405.0,4210.0,4600.0,6230.0,25.55,21.8,261.3,-12014.0,1557.5,3115.0,-12014.0,LOSS,expiration,3700.0,-13805.0,680.0,2715.0,1440.0,-1950.0,-2550.0,-4650.0
2022-04-01,2022-04-29,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4537.52,4132.17,4540.0,4385.0,4695.0,4555.0,20.2,16.42,206.4,4555.0,1138.75,2277.5,3416.25,WIN,expiration,4555.0,-4475.0,-1385.0,-722.5,-1595.0,1170.0,4077.5,3920.0
2022-04-08,2022-05-06,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4476.48,4146.87,4475.0,4295.0,4655.0,5330.0,22.27,19.12,237.0,5330.0,1332.5,2665.0,3997.5,WIN,expiration,5335.0,-4140.0,-1665.0,-1960.0,715.0,122.5,4052.5,4097.5
2022-04-22,2022-05-20,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4355.15,3901.55,4355.0,4160.0,4550.0,5430.0,23.9,21.48,259.1,5430.0,1357.5,2715.0,4072.5,WIN,expiration,5427.5,-3180.0,-1170.0,-612.5,2265.0,4450.0,4722.5,4522.5
2022-04-29,2022-05-27,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4267.85,4158.34,4270.0,4060.0,4480.0,5985.0,28.98,23.66,279.6,-3849.0,1496.25,2992.5,4488.75,LOSS,expiration,5602.5,-6010.0,-710.0,1502.5,-105.0,4835.0,4832.5,5377.5
2022-05-06,2022-06-03,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4146.87,4108.23,4145.0,3820.0,4470.0,12470.0,35.09,37.82,434.4,-16353.0,3117.5,-16353.0,-16353.0,LOSS,expiration,3705.0,-17855.0,-1792.5,655.0,290.0,-7690.0,-10260.0,-10260.0
