trade_date,exp_date,underlying,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,lpv_debit,far_short,far_exp,far_credit,delta_far,total_credit,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,cash_close,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2023-03-17,2023-04-17,SPX,3918.23,24.79,entry,,3700.0,3800.0,-0.202,-0.301,20.1,3125.0,2023-06-16,22.1,-0.07,2.0,0.45,45.0,3995.15,3995.15,2023-03-27,174.85,-2.0,173.3,45.0,45.0,win,roll,1
2023-03-27,2023-04-17,SPX,3995.15,20.62,T1_far_roll,,3700.0,3800.0,-0.202,-0.301,20.1,3280.0,2023-06-30,19.7,-0.07,2.0,-0.68,-68.0,4074.32,4074.32,2023-04-10,183.65,-10.35,172.62,-68.0,-68.0,loss,roll,0
2023-04-10,,SPX,4074.32,19.9,T3_reopen,,,,,,,,,,,,0.0,0.0,4079.69,4079.69,2023-04-10,172.62,0.0,172.62,0.0,0.0,flat,roll,1
2023-04-10,2023-05-09,SPX,4079.69,19.46,entry,,3900.0,3990.0,-0.195,-0.306,18.1,3440.0,2023-06-30,17.3,-0.07,-0.8,-5.89,-589.0,4158.58,4158.58,2023-04-28,171.83,0.8,166.73,-589.0,-589.0,loss,roll,0
2023-04-28,,SPX,4158.58,15.96,T1_reopen,,,,,,,,,,,,0.0,0.0,4165.81,4165.81,2023-04-28,166.73,0.0,166.73,0.0,0.0,flat,roll,1
2023-04-28,2023-05-26,SPX,4165.81,16.08,entry,,4020.0,4090.0,-0.202,-0.301,12.5,3475.0,2023-07-31,18.95,-0.07,6.45,-1.95,-195.0,4211.3,4211.3,2023-05-19,173.18,-6.45,164.78,-195.0,-195.0,loss,roll,0
2023-05-19,,SPX,4211.3,16.03,T3_reopen,,,,,,,,,,,,0.0,0.0,4209.02,4209.02,2023-05-19,164.78,0.0,164.78,0.0,0.0,flat,roll,1
2023-05-19,2023-06-16,SPX,4209.02,16.07,entry,,4065.0,4135.0,-0.203,-0.3,11.8,3530.0,2023-08-18,18.05,-0.069,6.25,0.0,0.0,4283.71,4283.71,2023-06-06,171.03,-6.25,164.78,0.0,0.0,flat,roll,1
2023-06-06,,SPX,4283.71,14.3,T1_reopen,,,,,,,,,,,,0.0,0.0,4284.72,4284.72,2023-06-06,164.78,0.0,164.78,0.0,0.0,flat,roll,1
2023-06-06,2023-07-05,SPX,4284.72,14.24,entry,,4160.0,4225.0,-0.196,-0.301,11.0,3690.0,2023-08-31,16.15,-0.071,5.15,-1.58,-158.0,4349.63,4349.63,2023-06-27,169.93,-5.15,163.2,-158.0,-158.0,loss,roll,0
2023-06-27,,SPX,4349.63,13.73,T1_reopen,,,,,,,,,,,,0.0,0.0,4358.39,4358.39,2023-06-27,163.2,0.0,163.2,0.0,0.0,flat,roll,1
2023-06-27,2023-07-26,SPX,4358.39,13.66,entry,,4240.0,4300.0,-0.205,-0.305,10.7,3740.0,2023-09-29,16.55,-0.07,5.85,-1.9,-190.0,4513.12,4513.12,2023-07-17,169.05,-5.85,161.3,-190.0,-190.0,loss,roll,0
2023-07-17,,SPX,4513.12,13.49,T1_reopen,,,,,,,,,,,,0.0,0.0,4520.71,4520.71,2023-07-17,161.3,0.0,161.3,0.0,0.0,flat,roll,1
2023-07-17,2023-08-15,SPX,4520.71,13.58,entry,,4400.0,4460.0,-0.199,-0.3,11.15,3890.0,2023-10-20,16.85,-0.07,5.7,0.3,30.0,4476.29,4476.29,2023-08-08,167.0,-5.7,161.6,30.0,30.0,win,roll,1
2023-08-08,,SPX,4476.29,17.5,T3_reopen,,,,,,,,,,,,0.0,0.0,4467.23,4467.23,2023-08-08,161.6,0.0,161.6,0.0,0.0,flat,roll,1
2023-08-08,2023-09-06,SPX,4467.23,18.0,entry,,4300.0,4375.0,-0.202,-0.291,13.0,3760.0,2023-10-31,19.15,-0.07,6.15,7.2,720.0,4431.88,4431.88,2023-08-28,167.75,-6.15,168.8,720.0,720.0,win,roll,1
2023-08-28,,SPX,4431.88,15.63,T1_reopen,,,,,,,,,,,,0.0,0.0,4426.33,4426.33,2023-08-28,168.8,0.0,168.8,0.0,0.0,flat,roll,1
2023-08-28,2023-09-26,SPX,4426.33,15.62,entry,,4275.0,4350.0,-0.196,-0.299,13.5,3775.0,2023-11-30,17.7,-0.07,4.2,-0.9,-90.0,4475.11,4475.11,2023-09-13,173.0,-4.2,167.9,-90.0,-90.0,loss,roll,0
2023-09-13,,SPX,4475.11,13.46,T1_reopen,,,,,,,,,,,,0.0,0.0,4475.6,4475.6,2023-09-13,167.9,0.0,167.9,0.0,0.0,flat,roll,1
2023-09-13,2023-10-13,SPX,4475.6,13.45,entry,,4350.0,4410.0,-0.202,-0.297,10.9,3880.0,2023-12-15,15.95,-0.07,5.05,9.9,990.0,4347.32,4347.32,2023-09-21,172.95,-5.05,177.8,990.0,990.0,win,roll,1
2023-09-21,,SPX,4347.32,16.38,T4_reopen,,,,,,,,,,,,0.0,0.0,4329.41,4329.41,2023-09-21,177.8,0.0,177.8,0.0,0.0,flat,roll,1
2023-09-21,2023-10-20,SPX,4329.41,17.24,entry,,4170.0,4245.0,-0.201,-0.299,14.2,3710.0,2023-12-15,16.55,-0.07,2.35,-4.65,-465.0,4371.99,4371.99,2023-10-13,180.15,-2.35,173.15,-465.0,-465.0,loss,roll,0
2023-10-13,,SPX,4371.99,16.94,T3_reopen,,,,,,,,,,,,0.0,0.0,4340.74,4340.74,2023-10-13,173.15,0.0,173.15,0.0,0.0,flat,roll,1
2023-10-13,2023-11-13,SPX,4340.74,18.43,entry,,4170.0,4250.0,-0.202,-0.299,14.9,3625.0,2024-01-19,19.45,-0.07,4.55,27.1,2710.0,4114.65,4114.65,2023-10-27,177.7,-4.55,200.25,2710.0,2710.0,win,roll,1
2023-10-27,2023-11-27,SPX,4114.65,21.61,T2_lpv_tp,,3900.0,4020.0,-0.181,-0.311,23.8,3625.0,2024-01-19,19.45,-0.07,4.55,0.6,60.0,4358.24,4358.24,2023-11-03,207.7,-7.45,200.85,60.0,60.0,win,roll,1
2023-11-03,2023-11-27,SPX,4358.24,15.18,T1_far_roll,,3900.0,4020.0,-0.181,-0.311,23.8,3760.0,2024-01-31,16.05,-0.07,4.55,6.38,638.0,4510.53,4510.53,2023-11-16,214.85,-14.0,207.23,638.0,638.0,win,roll,1
2023-11-16,,SPX,4510.53,13.77,T1_reopen,,,,,,,,,,,,0.0,0.0,4496.46,4496.46,2023-11-16,207.23,0.0,207.23,0.0,0.0,flat,roll,1
2023-11-16,2023-12-15,SPX,4496.46,14.18,entry,,4365.0,4430.0,-0.198,-0.299,12.05,3900.0,2024-02-16,15.75,-0.069,3.7,-1.85,-185.0,4582.98,4582.98,2023-12-06,210.93,-3.7,205.38,-185.0,-185.0,loss,roll,0
2023-12-06,,SPX,4582.98,12.73,T1_reopen,,,,,,,,,,,,0.0,0.0,4575.13,4575.13,2023-12-06,205.38,0.0,205.38,0.0,0.0,flat,roll,1
2023-12-06,2024-01-05,SPX,4575.13,12.7,entry,,4455.0,4515.0,-0.197,-0.299,11.5,4030.0,2024-02-29,14.35,-0.07,2.85,-3.71,-371.0,4764.99,4764.99,2023-12-20,208.22,-2.85,201.67,-371.0,-371.0,loss,roll,0
2023-12-20,2024-01-05,SPX,4764.99,12.33,T1_far_roll,,4455.0,4515.0,-0.197,-0.299,11.5,4190.0,2024-03-15,15.35,-0.07,2.85,3.03,303.0,4785.93,4785.93,2023-12-29,216.47,-14.8,204.7,303.0,303.0,win,roll,1
2023-12-29,,SPX,4785.93,12.65,T3_reopen,,,,,,,,,,,,0.0,0.0,4772.5,4772.5,2023-12-29,204.7,0.0,204.7,0.0,0.0,flat,roll,1
2023-12-29,2024-01-29,SPX,4772.5,12.78,entry,,4655.0,4715.0,-0.202,-0.303,11.6,4180.0,2024-03-28,15.95,-0.07,4.35,-3.08,-308.0,4866.63,4866.63,2024-01-22,209.05,-4.35,201.62,-308.0,-308.0,loss,roll,0
2024-01-22,,SPX,4866.63,13.59,T3_reopen,,,,,,,,,,,,0.0,0.0,4850.95,4850.95,2024-01-22,201.62,0.0,201.62,0.0,0.0,flat,roll,1
2024-01-22,2024-02-21,SPX,4850.95,13.58,entry,,4720.0,4790.0,-0.199,-0.308,13.4,4250.0,2024-04-19,15.85,-0.07,2.45,-4.52,-452.0,4997.84,4997.84,2024-02-07,204.07,-2.45,197.1,-452.0,-452.0,loss,roll,0
2024-02-07,2024-02-21,SPX,4997.84,12.89,T1_far_roll,,4720.0,4790.0,-0.199,-0.308,13.4,4440.0,2024-04-30,14.6,-0.07,2.45,-1.98,-198.0,4980.68,4980.68,2024-02-14,210.77,-13.67,195.12,-198.0,-198.0,loss,roll,0
2024-02-14,,SPX,4980.68,14.43,T3_reopen,,,,,,,,,,,,0.0,0.0,4971.63,4971.63,2024-02-14,195.12,0.0,195.12,0.0,0.0,flat,roll,1
2024-02-14,2024-03-15,SPX,4971.63,14.74,entry,,4825.0,4900.0,-0.199,-0.303,13.7,4320.0,2024-05-17,17.55,-0.07,3.85,-2.55,-255.0,5099.71,5099.71,2024-03-01,198.97,-3.85,192.57,-255.0,-255.0,loss,roll,0
2024-03-01,2024-03-15,SPX,5099.71,13.28,T1_far_roll,,4825.0,4900.0,-0.199,-0.303,13.7,4510.0,2024-05-31,15.75,-0.07,3.85,1.03,103.0,5185.2,5185.2,2024-03-08,206.32,-13.75,193.6,103.0,103.0,win,roll,1
2024-03-08,,SPX,5185.2,14.05,T3_reopen,,,,,,,,,,,,0.0,0.0,5182.05,5182.05,2024-03-08,193.6,0.0,193.6,0.0,0.0,flat,roll,1
2024-03-08,2024-04-08,SPX,5182.05,14.11,entry,,5040.0,5110.0,-0.199,-0.3,14.0,4590.0,2024-05-31,15.9,-0.071,1.9,-4.5,-450.0,5255.02,5255.02,2024-03-28,195.5,-1.9,189.1,-450.0,-450.0,loss,roll,0
2024-03-28,,SPX,5255.02,12.85,T1_reopen,,,,,,,,,,,,0.0,0.0,5252.25,5252.25,2024-03-28,189.1,0.0,189.1,0.0,0.0,flat,roll,1
2024-03-28,2024-04-26,SPX,5252.25,12.99,entry,,5125.0,5190.0,-0.199,-0.302,12.4,4625.0,2024-06-28,16.7,-0.07,4.3,11.2,1120.0,5067.66,5067.66,2024-04-15,193.4,-4.3,200.3,1120.0,1120.0,win,roll,1
2024-04-15,2024-05-15,SPX,5067.66,18.9,T2_lpv_tp,,4850.0,4960.0,-0.191,-0.301,20.5,4625.0,2024-06-28,16.7,-0.07,4.3,8.6,860.0,5168.87,5168.87,2024-05-06,215.6,-15.3,208.9,860.0,860.0,win,roll,1
2024-05-06,,SPX,5168.87,13.66,T1_reopen,,,,,,,,,,,,0.0,0.0,5180.7,5180.7,2024-05-06,208.9,0.0,208.9,0.0,0.0,flat,roll,1
2024-05-06,2024-06-05,SPX,5180.7,13.44,entry,,5040.0,5110.0,-0.2,-0.305,15.0,4600.0,2024-07-31,15.4,-0.07,0.4,-8.93,-893.0,5271.36,5271.36,2024-05-29,209.3,-0.4,199.97,-893.0,-893.0,loss,roll,0
2024-05-29,,SPX,5271.36,14.01,T3_reopen,,,,,,,,,,,,0.0,0.0,5279.23,5279.23,2024-05-29,199.97,0.0,199.97,0.0,0.0,flat,roll,1
2024-05-29,2024-06-28,SPX,5279.23,13.86,entry,,5130.0,5205.0,-0.201,-0.3,13.0,4620.0,2024-08-30,17.75,-0.07,4.75,-1.6,-160.0,5433.78,5433.78,2024-06-12,204.72,-4.75,198.37,-160.0,-160.0,loss,roll,0
2024-06-12,2024-06-28,SPX,5433.78,12.33,T1_far_roll,,5130.0,5205.0,-0.201,-0.3,13.0,4800.0,2024-09-20,17.35,-0.071,4.75,-3.75,-375.0,5459.93,5459.93,2024-06-21,213.77,-15.4,194.62,-375.0,-375.0,loss,roll,0
2024-06-21,,SPX,5459.93,13.61,T3_reopen,,,,,,,,,,,,0.0,0.0,5470.37,5470.37,2024-06-21,194.62,0.0,194.62,0.0,0.0,flat,roll,1
