trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,total_credit,cash_close,cash_open,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2023-03-17,2023-04-28,SPX,42,3942.35,24.02,up,1,3760.0,3505.0,-0.249,-0.099,0.2177,0.2792,35,12.75,-7.7,12.75,5.05,505.0,3931.04,3931.04,2023-03-24,-18.17,0.0,-12.75,-370.55,-455.0,-455.0,loss,roll,0
2023-03-24,2023-05-05,SPX,42,3931.04,24.09,down,0,3760.0,3500.0,-0.269,-0.108,0.2268,0.2876,35,16.4,-17.3,16.4,-0.9,-90.0,4070.21,4070.21,2023-03-31,-18.4,5.0,-16.4,-361.15,940.0,940.0,win,roll,1
2023-03-31,2023-05-12,SPX,42,4070.21,18.88,up,1,3910.0,3695.0,-0.247,-0.101,0.1817,0.2302,35,11.7,-7.0,11.7,4.7,470.0,4160.54,4160.54,2023-04-14,-15.51,0.0,-11.7,-355.3,585.0,585.0,win,roll,1
2023-04-14,2023-05-26,SPX,42,4160.54,17.55,up,1,4020.0,3815.0,-0.252,-0.101,0.1577,0.2058,35,10.1,-5.85,10.1,4.25,425.0,4121.67,4121.67,2023-04-21,-13.64,0.0,-10.1,-356.0,-70.0,-70.0,loss,roll,0
2023-04-21,2023-06-02,SPX,42,4121.67,17.35,down,0,4020.0,3810.0,-0.298,-0.123,0.1453,0.206,35,9.55,-10.8,9.55,-1.25,-125.0,4136.61,4136.61,2023-04-28,-14.45,5.0,-9.55,-358.35,-235.0,-235.0,loss,roll,0
2023-04-28,2023-06-09,SPX,42,4136.61,16.54,up,1,4000.0,3790.0,-0.25,-0.099,0.1528,0.2056,35,9.2,-11.9,9.2,-2.7,-270.0,4111.5,4111.5,2023-05-05,-14.14,0.0,-9.2,-360.75,-240.0,-240.0,loss,roll,0
2023-05-05,2023-06-16,SPX,42,4111.5,17.97,down,0,4000.0,3790.0,-0.298,-0.131,0.1611,0.2217,35,8.25,-11.6,8.25,-3.35,-335.0,4139.03,4139.03,2023-05-12,-14.66,0.0,-8.25,-360.7,5.0,5.0,win,roll,1
2023-05-12,2023-06-23,SPX,42,4139.03,16.54,up,1,4000.0,3775.0,-0.251,-0.099,0.1564,0.217,35,9.1,-8.2,9.1,0.9,90.0,4211.3,4211.3,2023-05-19,-14.09,0.0,-9.1,-356.75,395.0,395.0,win,roll,1
2023-05-19,2023-06-30,SPX,42,4211.3,16.03,up,1,4085.0,3870.0,-0.25,-0.1,0.1378,0.2,35,6.5,-5.15,6.5,1.35,135.0,4175.04,4175.04,2023-05-26,-12.59,0.0,-6.5,-358.4,-165.0,-165.0,loss,roll,0
2023-05-26,2023-07-07,SPX,42,4175.04,18.23,down,0,4080.0,3870.0,-0.306,-0.135,0.1401,0.2098,35,5.3,-8.15,5.3,-2.85,-285.0,4246.63,4246.63,2023-06-02,-13.34,5.0,-5.3,-357.95,45.0,45.0,win,roll,1
2023-06-02,2023-07-14,SPX,42,4246.63,15.13,up,1,4130.0,3925.0,-0.252,-0.1,0.1272,0.1856,35,6.4,-4.85,6.4,1.55,155.0,4312.0,4312.0,2023-06-09,-11.85,0.0,-6.4,-355.1,285.0,285.0,win,roll,1
2023-06-09,2023-07-21,SPX,42,4312.0,13.56,up,1,4210.0,4025.0,-0.252,-0.101,0.1085,0.1624,35,5.45,-3.55,5.45,1.9,190.0,4429.61,4429.61,2023-06-16,-10.5,0.0,-5.45,-351.45,365.0,365.0,win,roll,1
2023-06-16,2023-07-28,SPX,42,4429.61,14.39,up,1,4315.0,4125.0,-0.25,-0.1,0.1179,0.1677,35,7.0,-1.8,7.0,5.2,520.0,4349.71,4349.71,2023-06-23,-8.05,0.0,-7.0,-360.0,-855.0,-855.0,loss,roll,0
2023-06-23,2023-08-04,SPX,42,4349.71,13.44,down,0,4310.0,4125.0,-0.358,-0.144,0.077,0.1506,35,11.3,-15.55,11.3,-4.25,-425.0,4438.96,4438.96,2023-06-30,-9.71,5.0,-11.3,-354.5,550.0,550.0,win,roll,1
2023-06-30,2023-08-11,SPX,42,4438.96,13.47,up,1,4330.0,4150.0,-0.246,-0.1,0.1096,0.1584,35,5.4,-5.8,5.4,-0.4,-40.0,4415.42,4415.42,2023-07-07,-7.86,0.0,-5.4,-357.0,-250.0,-250.0,loss,roll,0
2023-07-07,2023-08-18,SPX,42,4415.42,14.98,down,0,4330.0,4150.0,-0.295,-0.127,0.1106,0.1644,35,6.1,-7.9,6.1,-1.8,-180.0,4523.78,4523.78,2023-07-14,-8.35,0.0,-6.1,-353.1,390.0,390.0,win,roll,1
2023-07-14,2023-08-25,SPX,42,4523.78,13.69,up,1,4420.0,4230.0,-0.254,-0.102,0.1062,0.1589,35,6.8,-2.2,6.8,4.6,460.0,4541.96,4541.96,2023-07-21,-6.1,0.0,-6.8,-353.05,5.0,5.0,win,roll,1
2023-07-21,2023-09-01,SPX,42,4541.96,13.79,up,1,4430.0,4240.0,-0.25,-0.1,0.112,0.1616,35,6.6,-6.75,6.6,-0.15,-15.0,4574.03,4574.03,2023-07-28,-5.72,0.0,-6.6,-351.1,195.0,195.0,win,roll,1
2023-07-28,2023-09-08,SPX,42,4574.03,13.53,up,1,4470.0,4275.0,-0.253,-0.099,0.1045,0.1581,35,6.5,-4.65,6.5,1.85,185.0,4514.98,4514.98,2023-08-04,-5.06,0.0,-6.5,-358.0,-690.0,-690.0,loss,roll,0
2023-08-04,2023-09-15,SPX,42,4514.98,15.27,down,0,4470.0,4275.0,-0.358,-0.15,0.0845,0.1594,35,10.6,-13.4,10.6,-2.8,-280.0,4451.3,4451.3,2023-08-11,-6.28,0.0,-10.6,-367.7,-970.0,-970.0,loss,roll,0
2023-08-11,2023-09-22,SPX,42,4451.3,16.15,down,0,4470.0,4275.0,-0.473,-0.216,0.5402,0.1566,35,13.8,-20.3,13.8,-6.5,-650.0,4348.8,4348.8,2023-08-18,-7.6,0.0,-13.8,-378.05,-1035.0,-1035.0,loss,roll,0
2023-08-18,2023-09-29,SPX,42,4348.8,18.58,down,0,4470.0,4275.0,-0.654,-0.343,0.1888,0.1321,35,14.6,-24.15,14.6,-9.55,-955.0,4396.18,4396.18,2023-08-25,-9.73,0.0,-14.6,-390.35,-1230.0,-1230.0,loss,roll,0
2023-08-25,2023-10-06,SPX,42,4396.18,16.64,up,1,4260.0,4040.0,-0.254,-0.099,0.1453,0.1983,35,10.5,-26.9,10.5,-16.4,-1640.0,4527.51,4527.51,2023-09-01,-8.75,0.0,-10.5,-382.75,760.0,760.0,win,roll,1
2023-09-01,2023-10-13,SPX,42,4527.51,13.27,up,1,4420.0,4240.0,-0.25,-0.1,0.1078,0.1541,35,7.75,-2.9,7.75,4.85,485.0,4460.79,4460.79,2023-09-08,-6.02,0.0,-7.75,-389.2,-645.0,-645.0,loss,roll,0
2023-09-08,2023-10-20,SPX,42,4460.79,14.03,down,0,4420.0,4240.0,-0.359,-0.149,0.0776,0.1471,35,11.85,-14.2,11.85,-2.35,-235.0,4481.34,4481.34,2023-09-15,-7.41,0.0,-11.85,-389.3,-10.0,-10.0,loss,roll,0
2023-09-15,2023-10-27,SPX,42,4481.34,13.15,up,1,4380.0,4200.0,-0.252,-0.098,0.1036,0.151,35,7.45,-11.95,7.45,-4.5,-450.0,4340.84,4340.84,2023-09-22,-6.98,0.0,-7.45,-402.9,-1360.0,-1360.0,loss,roll,0
2023-09-22,2023-11-03,SPX,42,4340.84,16.79,down,0,4380.0,4200.0,-0.511,-0.244,0.3238,0.1451,35,15.25,-21.05,15.25,-5.8,-580.0,4329.62,4329.62,2023-09-29,-9.9,0.0,-15.25,-412.25,-935.0,-935.0,loss,roll,0
2023-09-29,2023-11-10,SPX,42,4329.62,15.9,down,0,4380.0,4200.0,-0.533,-0.251,0.2661,0.1381,35,18.95,-24.6,18.95,-5.65,-565.0,4232.28,4232.28,2023-10-06,-10.13,0.0,-18.95,-415.5,-325.0,-325.0,loss,roll,0
