trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2022-02-25,2022-03-04,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4288.7,4363.49,4290.0,4265.0,4315.0,150.0,29.85,27.43,162.9,150.0,37.5,75.0,112.5,WIN,expiration,355.0,-2510.0,170.0,5.0,37.5,37.5,75.0,75.0,112.5,112.5
2022-03-04,2022-03-11,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4363.49,4203.91,4365.0,4345.0,4385.0,100.0,32.94,20.87,126.1,100.0,25.0,50.0,75.0,WIN,expiration,105.0,-560.0,-15.0,25.0,25.0,25.0,-15.0,50.0,-15.0,25.0
2022-03-11,2022-03-18,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4274.69,4462.85,4275.0,4250.0,4300.0,180.0,29.79,28.31,167.6,180.0,45.0,90.0,135.0,WIN,expiration,375.0,-5790.0,0.0,-5.0,45.0,45.0,90.0,90.0,0.0,-5.0
2022-03-18,2022-03-25,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4407.41,4543.05,4405.0,4385.0,4425.0,135.0,25.55,22.02,134.4,135.0,33.75,67.5,135.0,WIN,expiration,150.0,-3170.0,30.0,-10.0,30.0,33.75,30.0,67.5,30.0,-10.0
2022-03-25,2022-04-01,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4525.13,4544.79,4525.0,4510.0,4540.0,75.0,21.59,18.33,114.9,75.0,18.75,37.5,56.25,WIN,expiration,595.0,-2060.0,-0.0,35.0,-0.0,18.75,-0.0,37.5,-0.0,35.0
2022-04-01,2022-04-08,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4537.52,4489.24,4540.0,4525.0,4555.0,85.0,20.2,15.76,99.0,85.0,21.25,42.5,63.75,WIN,expiration,160.0,-1800.0,-15.0,-5.0,-15.0,21.25,-15.0,42.5,-15.0,-5.0
2022-04-08,2022-04-14,SPX,6,0.15,Inverse Butterfly 1-2-1 (calls),4476.48,4392.44,4475.0,4460.0,4490.0,65.0,22.27,18.76,107.7,65.0,16.25,32.5,65.0,WIN,expiration,65.0,-340.0,-15.0,-40.0,-15.0,-40.0,-15.0,-40.0,-15.0,-40.0
2022-04-22,2022-04-29,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4355.15,4132.17,4355.0,4335.0,4375.0,100.0,23.9,21.43,129.2,100.0,25.0,50.0,75.0,WIN,expiration,102.5,-260.0,-10.0,-20.0,-10.0,25.0,-10.0,-20.0,-10.0,-20.0
2022-04-29,2022-05-06,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4267.85,4146.87,4270.0,4245.0,4295.0,150.0,28.98,27.42,162.1,150.0,37.5,75.0,112.5,WIN,expiration,160.0,-1700.0,-185.0,-0.0,-185.0,37.5,-185.0,75.0,-185.0,112.5
2022-05-06,2022-05-13,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4146.87,4023.56,4145.0,4100.0,4190.0,385.0,35.09,53.31,306.1,385.0,96.25,192.5,288.75,WIN,expiration,382.5,-350.0,-60.0,-85.0,-60.0,-85.0,-60.0,-85.0,-60.0,-85.0
2022-05-13,2022-05-20,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3993.95,3901.55,3995.0,3970.0,4020.0,140.0,29.71,30.36,167.9,140.0,35.0,70.0,105.0,WIN,expiration,140.0,-2310.0,-0.0,-15.0,-0.0,-15.0,-0.0,-15.0,-0.0,-15.0
2022-05-20,2022-05-27,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3933.8,4158.34,3935.0,3910.0,3960.0,150.0,28.22,28.42,154.8,150.0,37.5,75.0,112.5,WIN,expiration,220.0,-4680.0,-10.0,-50.0,-10.0,-50.0,-10.0,-50.0,-10.0,-50.0
2022-05-27,2022-06-03,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4115.44,4108.23,4115.0,4095.0,4135.0,130.0,26.13,22.9,130.5,-1193.0,32.5,65.0,-1193.0,LOSS,expiration,80.0,-4140.0,55.0,55.0,32.5,32.5,55.0,55.0,55.0,55.0
2022-06-03,2022-06-10,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4134.22,3900.16,4135.0,4115.0,4155.0,125.0,25.29,23.24,133.1,125.0,31.25,62.5,93.75,WIN,expiration,255.0,-1210.0,-5.0,-30.0,-5.0,-30.0,-5.0,-30.0,-5.0,-30.0
2022-06-10,2022-06-17,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3935.06,3673.63,3935.0,3910.0,3960.0,60.0,27.92,30.32,165.2,60.0,15.0,30.0,45.0,WIN,expiration,62.5,-2740.0,-70.0,-45.0,-70.0,-45.0,-70.0,-45.0,-70.0,-45.0
2022-06-17,2022-06-24,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3698.69,3912.21,3700.0,3675.0,3725.0,160.0,31.44,30.76,157.6,160.0,40.0,80.0,120.0,WIN,expiration,345.0,-3120.0,-30.0,-30.0,40.0,40.0,80.0,80.0,120.0,120.0
2022-06-24,2022-07-01,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3852.1,3825.03,3850.0,3830.0,3870.0,430.0,28.4,27.47,146.6,430.0,107.5,215.0,322.5,WIN,expiration,420.0,-3170.0,415.0,280.0,107.5,107.5,215.0,215.0,322.5,322.5
2022-07-01,2022-07-08,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3800.64,3899.18,3800.0,3780.0,3820.0,180.0,27.94,24.53,129.1,180.0,45.0,90.0,135.0,WIN,expiration,350.0,-6240.0,50.0,50.0,45.0,45.0,90.0,90.0,135.0,135.0
2022-07-08,2022-07-15,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3874.9,3861.56,3875.0,3855.0,3895.0,125.0,25.76,23.18,124.4,-531.0,31.25,62.5,93.75,LOSS,expiration,100.0,-910.0,-10.0,-30.0,-10.0,-30.0,-10.0,-30.0,-10.0,-30.0
2022-07-15,2022-07-22,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3826.81,3962.24,3825.0,3805.0,3845.0,50.0,25.31,23.49,124.5,50.0,12.5,25.0,37.5,WIN,expiration,230.0,-4770.0,-115.0,-50.0,-115.0,12.5,-115.0,25.0,-115.0,37.5
2022-07-22,2022-07-29,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),3991.17,4130.48,3990.0,3970.0,4010.0,125.0,23.25,23.07,127.5,125.0,31.25,62.5,93.75,WIN,expiration,130.0,-5170.0,-10.0,-30.0,-10.0,-30.0,-10.0,-30.0,-10.0,-30.0
2022-08-05,2022-08-12,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4131.1,4279.35,4130.0,4115.0,4145.0,80.0,21.7,19.85,113.6,80.0,20.0,40.0,60.0,WIN,expiration,165.0,-3090.0,20.0,-10.0,20.0,20.0,20.0,-10.0,20.0,-10.0
2022-08-12,2022-08-19,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4234.43,4228.37,4235.0,4220.0,4250.0,135.0,19.84,15.12,88.7,-702.0,33.75,67.5,-702.0,LOSS,expiration,95.0,-2820.0,45.0,35.0,33.75,33.75,45.0,67.5,45.0,35.0
2022-08-19,2022-08-26,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4237.6,4058.29,4240.0,4225.0,4255.0,90.0,20.72,17.67,103.7,90.0,22.5,45.0,67.5,WIN,expiration,105.0,-250.0,5.0,20.0,5.0,22.5,5.0,45.0,5.0,20.0
2022-08-26,2022-09-02,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4197.3,3925.29,4195.0,4175.0,4215.0,140.0,22.06,20.93,121.7,140.0,35.0,70.0,105.0,WIN,expiration,152.5,-960.0,85.0,107.5,35.0,35.0,70.0,70.0,85.0,105.0
