trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit,pnl_tp50,pnl_tp100,pnl_tp200
2023-04-06,2023-04-10,SPX,4,360.0,-360.0,18.4,4109.11,LOSS,expiration,False,4160.0,4200.0,4240.0,1.85,3960.0,4000.0,4040.0,1.75,-360.0,-360.0,-360.0
2023-04-10,2023-04-11,SPX,1,420.0,-420.0,18.97,4108.94,LOSS,expiration,False,4135.0,4175.0,4215.0,2.25,3985.0,4025.0,4065.0,1.95,-270.0,-420.0,-420.0
2023-04-11,2023-04-12,SPX,1,385.0,-385.0,19.1,4091.95,LOSS,expiration,False,4170.0,4210.0,4250.0,1.8,3980.0,4020.0,4060.0,2.05,-385.0,-385.0,-385.0
2023-04-12,2023-04-13,SPX,1,405.0,717.02,19.09,4146.22,WIN,expiration,True,4135.0,4175.0,4215.0,1.85,3975.0,4015.0,4055.0,2.2,-125.0,0.0,250.0
2023-04-13,2023-04-14,SPX,1,405.0,-405.0,17.8,4137.64,LOSS,expiration,False,4185.0,4225.0,4265.0,2.05,4030.0,4070.0,4110.0,2.0,-90.0,30.0,-405.0
2023-04-14,2023-04-17,SPX,3,425.0,-425.0,17.07,4151.32,LOSS,expiration,False,4170.0,4210.0,4250.0,2.1,4025.0,4065.0,4105.0,2.15,-425.0,-425.0,-425.0
2023-04-17,2023-04-18,SPX,1,325.0,-325.0,16.95,4154.87,LOSS,expiration,False,4175.0,4205.0,4235.0,1.75,4055.0,4085.0,4115.0,1.5,30.0,30.0,-325.0
2023-04-18,2023-04-19,SPX,1,285.0,-285.0,16.83,4154.52,LOSS,expiration,False,4185.0,4215.0,4245.0,1.55,4060.0,4090.0,4120.0,1.3,-45.0,10.0,-285.0
2023-04-19,2023-04-20,SPX,1,295.0,-295.0,16.46,4129.79,LOSS,expiration,False,4185.0,4215.0,4245.0,1.6,4060.0,4090.0,4120.0,1.35,115.0,115.0,115.0
2023-04-20,2023-04-21,SPX,1,405.0,-405.0,17.17,4133.52,LOSS,expiration,False,4150.0,4190.0,4230.0,2.15,3995.0,4035.0,4075.0,1.9,-200.0,-405.0,-405.0
2023-04-21,2023-04-24,SPX,3,280.0,-280.0,16.77,4137.04,LOSS,expiration,False,4165.0,4195.0,4225.0,1.2,4030.0,4060.0,4090.0,1.6,-280.0,-280.0,-280.0
2023-04-24,2023-04-25,SPX,1,290.0,2372.99,16.89,4071.63,WIN,expiration,True,4160.0,4190.0,4220.0,1.5,4045.0,4075.0,4105.0,1.4,50.0,50.0,215.0
2023-04-25,2023-04-26,SPX,1,390.0,-390.0,18.76,4055.99,LOSS,expiration,False,4120.0,4160.0,4200.0,1.9,3950.0,3990.0,4030.0,2.0,-390.0,-390.0,-390.0
2023-04-26,2023-04-27,SPX,1,390.0,3074.99,18.84,4135.35,WIN,expiration,True,4090.0,4130.0,4170.0,1.8,3930.0,3970.0,4010.0,2.1,65.0,65.0,165.0
