trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2024-06-07,2024-06-14,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5347.82,5432.35,5350.0,5305.0,5395.0,780.0,12.58,12.76,94.5,780.0,290.0,395.0,655.0,WIN,expiration,940.0,-2220.0,-40.0,-35.0
2024-06-14,2024-06-21,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5421.03,5467.65,5420.0,5385.0,5455.0,715.0,12.52,9.67,72.6,715.0,195.0,360.0,540.0,WIN,expiration,615.0,-3090.0,-30.0,325.0
2024-06-21,2024-06-28,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5459.93,5459.16,5460.0,5420.0,5500.0,735.0,13.61,10.95,82.8,-3181.0,210.0,-3181.0,-3181.0,LOSS,expiration,210.0,-3945.0,-45.0,-75.0
2024-06-28,2024-07-05,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5501.89,5566.69,5500.0,5465.0,5535.0,560.0,12.3,9.59,73.0,560.0,210.0,460.0,460.0,WIN,expiration,575.0,-3020.0,-172.5,-427.5
2024-07-05,2024-07-12,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5545.13,5615.93,5545.0,5510.0,5580.0,670.0,12.17,9.68,74.3,670.0,195.0,370.0,635.0,WIN,expiration,840.0,-1300.0,60.0,195.0
2024-07-12,2024-07-19,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5608.55,5505.73,5610.0,5575.0,5645.0,710.0,12.33,9.08,70.5,710.0,365.0,365.0,617.5,WIN,expiration,710.0,-3320.0,205.0,160.0
2024-07-19,2024-07-26,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5546.86,5459.51,5545.0,5495.0,5595.0,1045.0,15.96,12.48,95.9,1045.0,287.5,620.0,805.0,WIN,expiration,1032.5,-970.0,-55.0,20.0
2024-07-26,2024-08-02,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5447.39,5345.52,5445.0,5375.0,5515.0,1280.0,17.38,17.96,135.5,1280.0,435.0,967.5,967.5,WIN,expiration,1287.5,-4780.0,-20.0,-155.0
2024-08-02,2024-08-08,SPX,6,0.50,Inverse Butterfly 1-2-1 (calls),5355.7,5318.59,5355.0,5280.0,5430.0,1575.0,21.55,22.16,152.2,-2284.0,520.0,1935.0,1935.0,LOSS,expiration,1935.0,-4165.0,135.0,1935.0
2024-08-09,2024-08-16,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5306.78,5554.22,5305.0,5220.0,5390.0,1615.0,24.06,23.1,169.8,1615.0,410.0,1085.0,1515.0,WIN,expiration,1740.0,-2070.0,-235.0,285.0
2024-08-16,2024-08-23,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5535.25,5633.31,5535.0,5485.0,5585.0,1065.0,15.38,13.01,99.8,1065.0,300.0,790.0,990.0,WIN,expiration,1045.0,-4970.0,95.0,480.0
2024-08-23,2024-08-30,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5608.63,5646.96,5610.0,5555.0,5665.0,1535.0,16.86,13.67,106.2,-269.0,485.0,-269.0,-269.0,LOSS,expiration,490.0,-4610.0,490.0,305.0
2024-08-30,2024-09-06,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5627.85,5409.16,5630.0,5585.0,5675.0,670.0,15.1,11.7,91.2,670.0,180.0,475.0,635.0,WIN,expiration,665.0,-2150.0,-160.0,-160.0
2024-09-06,2024-09-13,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5486.27,5625.53,5485.0,5420.0,5550.0,1260.0,20.17,17.4,132.2,1260.0,565.0,925.0,1030.0,WIN,expiration,1350.0,-3340.0,-160.0,-205.0
2024-09-13,2024-09-20,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5616.5,5702.51,5615.0,5555.0,5675.0,1350.0,16.83,16.07,125.0,1350.0,390.0,855.0,1135.0,WIN,expiration,1315.0,-4070.0,155.0,-55.0
2024-09-20,2024-09-27,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5692.9,5737.26,5695.0,5650.0,5740.0,860.0,16.32,12.03,94.8,586.0,300.0,495.0,715.0,WIN,expiration,715.0,-2790.0,-60.0,-290.0
2024-09-27,2024-10-04,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5751.94,5749.63,5750.0,5700.0,5800.0,1095.0,15.48,12.38,98.6,-3868.0,-3868.0,-3868.0,-3868.0,LOSS,expiration,180.0,-5055.0,155.0,155.0
2024-10-04,2024-10-11,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5720.73,5814.91,5720.0,5660.0,5780.0,1030.0,19.69,15.65,124.0,1030.0,465.0,1015.0,1015.0,WIN,expiration,1020.0,-2880.0,-150.0,-340.0
2024-10-11,2024-10-18,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5793.98,5864.52,5795.0,5750.0,5840.0,1155.0,20.6,10.72,86.0,1155.0,355.0,580.0,880.0,WIN,expiration,1215.0,-1950.0,565.0,560.0
