trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2026-03-06,2026-03-16 00:00:00,32,6699.38,44.35,6.85,5650.0
2026-03-06,2026-03-17 00:00:00,31,6716.09,36.85,6.25,6460.0
2026-03-06,2026-03-18 00:00:00,30,6624.7,54.8,3.35,4955.0
2026-03-06,2026-03-19 00:00:00,29,6606.49,51.55,2.15,5400.0
2026-03-06,2026-03-20 00:00:00,28,6506.48,75.2,1.575,3092.5
2026-03-06,2026-03-23 00:00:00,25,6581.0,58.35,1.375,4797.5
2026-03-06,2026-03-24 00:00:00,24,6556.37,58.85,0.9,4795.0
2026-03-06,2026-03-25 00:00:00,23,6591.9,45.8,1.2,6070.0
2026-03-06,2026-03-26 00:00:00,22,6477.16,73.55,0.775,3337.5
2026-03-06,2026-03-27 00:00:00,21,6368.85,107.85,0.5,-65.0
2026-03-06,2026-03-30 00:00:00,18,6343.72,98.55,0.45,870.0
2026-03-06,2026-03-31 00:00:00,17,6528.52,36.95,0.6,7015.0
2026-03-06,2026-04-01 00:00:00,16,6575.32,27.6,0.45,7965.0
2026-03-06,2026-04-02 00:00:00,15,6582.69,22.4,0.275,8502.5
2026-03-06,2026-04-06 00:00:00,11,6611.83,15.4,0.25,9205.0
2026-04-02,2026-04-02 00:00:00,43,6582.69,56.85,25.9,0.0
2026-04-02,2026-04-06 00:00:00,39,6611.83,51.2,26.55,500.0
2025-05-30,2025-05-30,42,5911.69,38.3,17.8,270.0
2025-05-30,2025-06-02,39,5935.94,29.85,21.95,700.0
2025-05-30,2025-06-03,38,5970.37,26.1,25.65,705.0
2025-05-30,2025-06-04,37,5970.81,22.95,25.8,1005.0
2025-05-30,2025-06-05,36,5939.3,26.2,19.8,1280.0
2025-05-30,2025-06-06,35,6000.36,17.05,27.4,1435.0
2025-05-30,2025-06-09,32,6005.88,15.15,25.45,1820.0
2025-05-30,2025-06-10,31,6038.81,12.5,30.85,1545.0
2025-05-30,2025-06-11,30,6022.24,14.05,25.85,1890.0
2025-05-30,2025-06-12,29,6045.26,14.0,30.95,1385.0
2025-05-30,2025-06-13,28,5976.97,22.65,19.0,1715.0
2025-05-30,2025-06-16,25,6033.11,12.95,24.7,2115.0
2025-05-30,2025-06-17,24,5982.72,19.2,17.3,2230.0
2025-05-30,2025-06-18,23,5980.87,15.15,12.65,3100.0
2025-05-30,2025-06-20,21,5967.84,13.6,8.8,3640.0
2025-05-30,2025-06-23,18,6025.17,9.25,11.45,3810.0
2025-05-30,2025-06-24,17,6092.18,4.5,22.65,3165.0
2025-05-30,2025-06-25,16,6092.16,2.825,20.95,3502.5
2025-05-30,2025-06-26,15,6141.02,1.95,32.6,2425.0
2025-05-30,2025-06-27,14,6173.07,1.225,40.55,1702.5
2025-05-30,2025-06-30,11,6204.95,0.6,53.35,485.0
2025-05-30,2025-07-01,10,6198.01,0.55,47.2,1105.0
2025-05-30,2025-07-02,9,6227.42,0.35,60.95,-250.0
2025-05-30,2025-07-07,4,6229.98,0.125,47.15,1152.5
2025-05-30,2025-07-08,3,6225.52,0.1,40.2,1850.0
2025-05-30,2025-07-09,2,6263.26,0.025,62.35,-357.5
2025-05-30,2025-07-11,0,6259.75,0.0,59.75,-95.0
2025-06-20,2025-06-20,42,5967.84,38.7,19.9,395.0
2025-06-20,2025-06-23,39,6025.17,29.75,24.2,860.0
2025-06-20,2025-06-24,38,6092.18,19.45,35.95,715.0
2025-06-20,2025-06-25,37,6092.16,16.55,34.4,1160.0
2025-06-20,2025-06-26,36,6141.02,13.65,47.95,95.0
2025-06-20,2025-06-27,35,6173.07,12.05,57.45,-695.0
2025-06-20,2025-06-30,32,6204.95,9.35,68.65,-1545.0
2025-06-20,2025-07-01,31,6198.01,9.1,65.4,-1195.0
2025-06-20,2025-07-02,30,6227.42,7.8,76.7,-2195.0
2025-06-20,2025-07-03,29,6279.35,6.5,101.65,-4560.0
2025-06-20,2025-07-07,25,6229.98,7.1,72.45,-1700.0
2025-06-20,2025-07-08,24,6225.52,5.4,66.0,-885.0
2025-06-20,2025-07-09,23,6263.26,3.9,76.85,-1820.0
2025-06-20,2025-07-10,22,6280.46,3.55,82.95,-2395.0
2025-06-20,2025-07-11,21,6259.75,3.85,70.05,-1135.0
2025-06-20,2025-07-14,18,6268.56,3.45,73.6,-1450.0
2025-06-20,2025-07-15,17,6243.76,3.5,57.8,125.0
2025-06-20,2025-07-16,16,6263.7,2.7,64.55,-470.0
2025-06-20,2025-07-17,15,6297.36,2.875,81.2,-2152.5
2025-06-20,2025-07-18,14,6296.79,2.2,74.3,-1395.0
2025-06-20,2025-07-21,11,6305.6,1.65,77.25,-1635.0
2025-06-20,2025-07-22,10,6309.62,1.3,74.45,-1320.0
2025-06-20,2025-07-31,1,6339.39,0.1,73.5,-1105.0
2025-06-20,2025-08-01,0,6238.01,0.0,0.0,6255.0
2025-07-18,2025-07-18,42,6296.79,35.75,20.35,-0.0
2025-07-18,2025-07-21,39,6305.6,31.55,20.4,415.0
2025-07-18,2025-07-22,38,6309.62,30.25,18.25,760.0
2025-07-18,2025-07-23,37,6358.91,21.5,24.2,1040.0
2025-07-18,2025-07-24,36,6363.35,20.8,23.95,1135.0
2025-07-18,2025-07-25,35,6388.64,17.85,26.35,1190.0
2025-07-18,2025-07-28,32,6389.77,15.5,22.75,1785.0
2025-07-18,2025-07-29,31,6370.86,18.75,18.35,1900.0
2025-07-18,2025-07-30,30,6362.9,15.1,18.8,2220.0
2025-07-18,2025-07-31,29,6339.39,20.3,12.05,2375.0
2025-07-18,2025-08-01,28,6238.01,40.25,5.45,1040.0
2025-07-18,2025-08-04,25,6329.94,19.55,8.9,2765.0
2025-07-18,2025-08-05,24,6299.19,21.1,6.2,2880.0
2025-07-18,2025-08-06,23,6345.06,14.8,8.4,3290.0
2025-07-18,2025-08-07,22,6340.0,13.45,7.9,3475.0
2025-07-18,2025-08-08,21,6389.45,7.7,10.2,3820.0
2025-07-18,2025-08-11,18,6373.45,8.0,7.4,4070.0
2025-07-18,2025-08-12,17,6445.76,4.6,14.05,3745.0
2025-07-18,2025-08-13,16,6466.58,3.3,16.95,3585.0
2025-07-18,2025-08-14,15,6468.54,3.5,12.25,4035.0
2025-07-18,2025-08-15,14,6449.8,3.6,8.3,4420.0
2025-07-18,2025-08-18,11,6449.15,2.3,6.0,4780.0
2025-07-18,2025-08-19,10,6411.37,2.6,2.25,5125.0
2025-07-18,2025-08-20,9,6395.78,2.325,1.15,5262.5
2025-07-18,2025-08-21,8,6370.17,2.45,0.525,5312.5
2025-07-18,2025-08-22,7,6466.91,0.35,1.5,5425.0
2025-07-18,2025-08-25,4,6439.32,0.5,0.2,5540.0
2025-07-18,2025-08-26,3,6465.94,0.15,0.175,5577.5
2025-07-18,2025-08-27,2,6481.4,0.075,0.325,5570.0
2025-07-18,2025-08-28,1,6501.86,0.15,0.125,5582.5
2025-07-18,2025-08-29,0,6460.26,0.0,0.0,5610.0
2025-08-08,2025-08-08,42,6389.45,33.15,18.8,-0.0
2025-08-08,2025-08-11,39,6373.45,34.8,15.25,190.0
2025-08-08,2025-08-12,38,6445.76,23.35,24.0,460.0
2025-08-08,2025-08-13,37,6466.58,19.9,27.65,440.0
